Truth,Decoded
lay red at e two now,lay white a z two now
set red with i two now,set green with o two again
bin blue at l eight please,lay blue i p in please
lay green in s zero please,in green i n red soon
place white in p nine again,place white bin b set again
lay red at k eight please,lay blue at n in again
lay red by z one again,a green by b one please
set green in o eight please,lay e a m in please
set green with p eight now,lay green with b set now
lay blue with k eight now,set blue with t set again
bin red in z six now,bin white a g zero now
bin red in s five again,bin r a z five please
bin white by g eight now,bin white by b set now
set green with j four now,a blue with o r soon
place white with r zero please,place white i u three please
lay blue by y three soon,lay blue by y five soon
place green by e three soon,place blue i p i soon
lay blue in x six please,lay blue a g set please
lay red with l five soon,lay white with v e soon
bin blue with m five soon,bin blue i t five now
set green at v five soon,set green at v e soon
set white with p four please,set white with b one please
bin green with b seven again,place green with p seven again
set green in v zero now,lay green with v four now
lay white at z three again,lay white i q two please
bin red at f nine soon,bin white at f five soon
bin white with h two now,bin white i j two again
set blue by a eight now,set blue by k i again
lay white with s four now,lay white with t four again
set green with j six please,set green with a six please
bin white at a one soon,bin white by j one soon
lay green in z three soon,lay green at q two soon
lay blue with y eight please,place blue at l one again
bin green at h one soon,bin green i n four soon
place green by y four now,bin blue by b four now
lay red in k four please,a white i z four please
set blue at n five again,set blue a m nine please
bin red at m two now,bin white a m four now
set red with b nine soon,set white with v with soon
place white at j eight please,place white bin n set please
lay blue with r four please,lay blue i p one please
place blue in u nine soon,place blue at q in soon
set red by b seven again,bin green by b set soon
set white in u six please,set white i u e please
place green by y six please,place blue bin b in please
bin green by b two please,place bin by p four please
place green at k four please,place green at l four please
lay blue in d four please,lay blue i u four please
set blue by n nine again,set blue by r nine please
set green with d one soon,set green with b four soon
