Truth,Decoded
set blue in g five soon,set blue i u two soon
set green in o nine again,set green i g in again
lay white with f seven soon,lay white i m four soon
place blue at v two now,place blue with p two again
place blue at p zero please,place blue at u e please
place red in v six please,place white by p nine please
place white by x nine soon,place white by d in soon
set white in h seven soon,set white i z set soon
lay blue with e five soon,a blue i u four soon
bin white with u two please,bin white with m four please
place green by k eight please,place e by p e please
set green with q one again,set e with b e please
bin white with u three again,bin white with p two soon
set red by i one again,set red by y one again
lay white in e four now,lay white with p four soon
place red by d zero now,place red by p z now
set white at o five soon,set white in z e soon
place blue with d zero please,place blue with u set please
set red in n five soon,bin green with d i soon
place red at j zero now,place white i d z soon
bin green in t five soon,bin blue with d e soon
place red by j four now,place white by b four one
place white at d four please,place white i d one please
set green by j two please,set green by z e please
place red with q three soon,place white by m four soon
set red at o one again,set green i p set please
place red at c six now,place white i d six soon
lay blue in j seven soon,lay blue i u e soon
set green by p seven again,lay green by p six soon
lay red by l three again,lay red by b e please
place green with l two please,place green with p four place
bin green with o three soon,place blue i p four soon
place green in q two now,place green i q two now
place green with y eight now,bin blue with p one again
lay blue in q two please,set blue in u four please
place blue at c two please,place blue i g zero soon
set green at p zero now,set green with p four now
bin blue by s four now,bin blue by b four again
place green by y five soon,place green by b nine soon
place green in x six now,place blue i d six soon
place blue by i nine soon,place blue i p e soon
place blue in o seven again,b blue with p soon soon
bin white at n one again,bin white a z in please
bin green with h nine soon,place blue with d i soon
lay green with m six now,lay blue with b set please
lay white in l zero please,lay white a z e soon
bin blue at s two please,bin blue i z four soon
bin white by t six now,bin white by p six now
place white with y two now,place red by b t now
place red by d two please,place white i b z please
