Truth,Decoded
lay red at e two now,a e n
set red with i two now,a e n
bin blue at l eight please,a e n
lay green in s zero please,a e n
place white in p nine again,a e n
lay red at k eight please,a e n
lay red by z one again,a e n
set green in o eight please,a e n
set green with p eight now,a e n
lay blue with k eight now,a e n
bin red in z six now,a e n
bin red in s five again,a e n
bin white by g eight now,a e n
set green with j four now,a e n
place white with r zero please,a e n
lay blue by y three soon,a e n
place green by e three soon,a e n
lay blue in x six please,a e n
lay red with l five soon,a e n
bin blue with m five soon,a e n
set green at v five soon,a e n
set white with p four please,a e n
bin green with b seven again,a e n
set green in v zero now,a e n
lay white at z three again,a e n
bin red at f nine soon,a e n
bin white with h two now,a e n
set blue by a eight now,a e n
lay white with s four now,a e n
set green with j six please,a e n
bin white at a one soon,a e n
lay green in z three soon,a e n
lay blue with y eight please,a e n
bin green at h one soon,a e n
place green by y four now,a e n
lay red in k four please,a e n
set blue at n five again,a e n
bin red at m two now,a e n
set red with b nine soon,a e n
place white at j eight please,a e n
lay blue with r four please,a e n
place blue in u nine soon,a e n
set red by b seven again,a e n
set white in u six please,a e n
place green by y six please,a e n
bin green by b two please,a e n
place green at k four please,a e n
lay blue in d four please,a e n
set blue by n nine again,a e n
set green with d one soon,a e n
