Truth,Decoded
lay red by y nine soon,place e by y in soon
lay red with z two now,lay blue with p four soon
lay green in z four please,lay green at u four please
lay red by l zero now,lay white by b t soon
lay white in e five soon,a white a t five soon
place blue at i seven again,place blue i x seven again
set green in i four please,set green in f four please
set green at v four now,lay green with p four now
lay blue by q eight now,lay blue by b two soon
place red with k zero please,place blue with o two please
lay red at r three again,set bin a r four soon
set red with v three again,lay white with u two please
set green by p six please,set green with b seven please
place red by x four please,place r by m four please
set blue by a nine soon,set blue by b set soon
bin green by b three again,place blue i m n please
lay red with z five again,lay white with u five please
bin white in g zero now,bin white a g four now
lay blue in j eight please,set blue i n set please
set green by c six now,set green by b six again
bin blue with s eight now,bin blue with t six again
bin green in g eight please,place green with n set please
set blue in t four please,set blue i u four please
bin white at g four now,bin white a q four now
place red at x zero please,place blue in h two please
set red with o six now,lay r with o six soon
place green in x seven soon,place green in k two soon
set green with x five again,a green with g e please
bin red by g four please,bin white by q four please
lay red with f three again,set blue with u four please
set blue at g nine soon,set blue i g six soon
bin blue at f two now,set blue i m four now
lay green at f seven again,lay e a m seven please
set blue in a zero now,set blue a u four soon
lay red in y zero now,a blue i b u soon
lay blue by k six please,set blue by p set please
place green by r three again,place blue at b e please
place blue at p one again,place blue i y one again
lay green at m zero please,set green with m four please
set green in b nine soon,lay green with m six soon
place white in p eight please,place white with m eight psoasn
set white at i one soon,set white i o four soon
set red at h six please,set white a k seven please
lay blue with k nine soon,lay blue with k two soon
place green by r zero now,place blue by l four now
lay red with f zero now,place white with u four soon
lay white in y eight please,lay white a y in please
set red at u three soon,lay e a q e soon
set white by i five soon,set white by b five soon
set red at n eight now,set r a n set again
