Truth,Decoded
bin blue with t zero please,bin blue with t set please
set white in u four now,set white i q four now
lay green in l seven again,lay green at t green please
set blue with h seven soon,set blue i h set soon
lay blue with e six please,set blue with u seven please
set white at u nine soon,set white a q e soon
set white at b eight please,set white with p six please
lay blue by k four now,lay blue by f four now
lay blue by y two now,place blue by p r now
lay blue at q four now,set blue i q four soon
lay white by s three again,lay white by l e please
bin blue by f seven soon,bin blue by f four soon
set blue with b five again,set blue with f five please
place white in j three soon,place red in j e soon
lay blue in d two now,set blue i g t again
lay green in r nine soon,lay green i n eight soon
lay red in q nine again,set white i q set again
bin blue by z nine soon,bin blue by p nine soon
set blue with h six now,set blue i e six soon
place red at j two please,place red bin q e soon
set blue at a six please,set blue at s six please
place white by y zero please,place white by y four please
bin white with n nine again,bin white with t t eight soon
place blue in v zero please,place blue with u two please
bin green by b one soon,place e at m four soon
lay white with s five soon,place blue i o one soon
set green with d two please,set green with h t please
place green by e two now,place green by z two now
bin blue with s nine soon,bin blue with c six soon
bin white at a three again,bin white i t seven please
place green in d four now,place green i z four now
lay green with g five again,lay green with q e please
lay blue at k two please,set blue in k four please
set white by i seven again,set white by k seven please
set blue in n zero please,set blue with e set please
bin red in m one again,bin red i z one please
lay red with l six please,set white with u six please
bin green in g seven soon,place green i z two soon
bin white with h five again,bin white with u five please
lay green with m eight please,set green with t in please
bin blue in z two please,bin blue at q e please
place red with j nine soon,place white with v eight soon
lay red in k three soon,set white at c four soon
lay white by s zero now,set white by p two soon
set blue by n eight please,set blue by a in please
bin green in a three soon,bin green i z two soon
bin red at f eight now,bin white at k eight now
lay blue by r one again,set blue by p one again
set red with c one again,set green i h four again
set blue at a seven again,set green by n seven please
