Truth,Decoded
lay red by y nine soon,a blue i u e again
lay red with z two now,a r i u e again
lay green in z four please,a blue i t e again
lay red by l zero now,a blue i u e again
lay white in e five soon,a blue i u e again
place blue at i seven again,a r i u e again
set green in i four please,a blue i t e again
set green at v four now,a blue i u e again
lay blue by q eight now,a r i u e again
place red with k zero please,a blue i u e again
lay red at r three again,a blue i u e again
set red with v three again,a blue i u e again
set green by p six please,a blue i u e again
place red by x four please,a r i u e again
set blue by a nine soon,a r i u e again
bin green by b three again,a r i u e again
lay red with z five again,a blue i u e again
bin white in g zero now,a r i u e again
lay blue in j eight please,a blue i u e again
set green by c six now,a r i u e again
bin blue with s eight now,a r i u e again
bin green in g eight please,a r i u e again
set blue in t four please,a r i u e again
bin white at g four now,a r i u e again
place red at x zero please,a blue i t e again
set red with o six now,a r i u e again
place green in x seven soon,a r i u e again
set green with x five again,a r i u e again
bin red by g four please,a r i u e again
lay red with f three again,a r i u e again
set blue at g nine soon,a blue i u e again
bin blue at f two now,a r i u e again
lay green at f seven again,a blue i t e again
set blue in a zero now,a r i u e again
lay red in y zero now,a r i u e again
lay blue by k six please,a blue i u e again
place green by r three again,a blue i u i again
place blue at p one again,a blue i u e again
lay green at m zero please,a blue i u e again
set green in b nine soon,a blue i u e again
place white in p eight please,a r i u e again
set white at i one soon,a r i t e again
set red at h six please,a r i t e again
lay blue with k nine soon,a blue i u e again
place green by r zero now,a r i u e again
lay red with f zero now,a r i u e again
lay white in y eight please,a r i u e again
set red at u three soon,a blue i u e again
set white by i five soon,a r i t e again
set red at n eight now,a r i u e again
