Truth,Decoded
bin green with h eight now,bin blue in s nine now
lay green with a one again,set blue with o in again
place green in d seven again,place green i s set one
set green at p three again,set green with p e please
bin white with h three soon,set blue by r e now
set blue in t two now,set blue i g bin now
bin blue by s six please,bin blue by k set please
set red with v zero now,set blue i p bin now
place blue by c six please,place blue i s set please
set red in n four now,set red i u e now
bin white at t five again,bin white i g five again
lay white at r eight please,lay white by h in again
lay white at r nine again,set r i r in again
lay green in z five again,lay green with p in again
bin white in g three again,set blue by y six again
bin white by n two now,bin white by m e now
bin green in n one soon,a blue i f e soon
bin blue in l three soon,bin blue i o e soon
bin white in g one soon,bin white at g e now
lay green by s eight please,lay blue by k in please
lay green at l eight now,lay green i n in now
bin green by h four now,bin blue by b e one
bin blue at z four now,set blue at r nine now
bin white in m five soon,bin white i m bin now
set red in u one again,set set i o e soon
set blue with u five soon,bin blue with p e soon
bin red with a three soon,bin white i o e now
set green in c one again,set red i m e one
lay white by l six now,place white in r bin now
set white by o nine soon,set r by p in now
place white in p seven soon,a wreted i u e soon
set blue by h four please,p blue at o e again
set red by i zero please,set green by y e now
set red at n nine soon,lay set a p in again
place white in x one soon,place white by u e now
set white at i two please,bin red i k e please
place red in v four now,place white by u e now
lay blue at d eight please,lay blue i k e please
place green in d six please,place green in s e again
bin green by n nine soon,bin blue i y e now
place blue in i zero now,place blue i g two now
bin blue by f eight please,bin white by m e please
lay white at z zero now,place red by e e soon
set white in h nine again,bin set by n nine again
lay green at z six now,lay red in n bin now
place red by j seven again,set bin at b i again
place red with q four please,place white at f e soon
lay blue at y zero please,lay blue i k e please
lay green by s nine again,set blue by n i again
set green by j one soon,set green i f e soon
