Truth,Decoded
lay red by y nine soon,set blue by p e now
lay red with z two now,place green by p e soon
lay green in z four please,lay green i u e now
lay red by l zero now,set blue by p e soon
lay white in e five soon,lay blue i t e soon
place blue at i seven again,bin blue i s e now
set green in i four please,set green i f e now
set green at v four now,set e i b e soon
lay blue by q eight now,set e at p e soon
place red with k zero please,a blue at b e soon
lay red at r three again,set blue i f e now
set red with v three again,set bin by p e soon
set green by p six please,set red at p e soon
place red by x four please,bin blue at f e now
set blue by a nine soon,set blue at p e now
bin green by b three again,bin blue bin b e now
lay red with z five again,at blue i p e soon
bin white in g zero now,bin blue i t e now
lay blue in j eight please,set e with f nine now
set green by c six now,place green i p e soon
bin blue with s eight now,bin blue at p e now
bin green in g eight please,bin blue i f five now
set blue in t four please,bin r i b e now
bin white at g four now,bin blue i f e now
place red at x zero please,bin blue i f e soon
set red with o six now,set blue with p e soon
place green in x seven soon,bin blue i s e now
set green with x five again,set r i p e soon
bin red by g four please,bin blue by f e soon
lay red with f three again,place blue at p e soon
set blue at g nine soon,place e at p e soon
bin blue at f two now,set e at p e soon
lay green at f seven again,lay blue i b e soon
set blue in a zero now,set blue i t e soon
lay red in y zero now,bin blue with b e now
lay blue by k six please,place e at p e soon
place green by r three again,a blue at p e now
place blue at p one again,place blue at b e now
lay green at m zero please,set green i f e now
set green in b nine soon,set green i f e soon
place white in p eight please,bin blue by b e soon
set white at i one soon,a red i f e now
set red at h six please,set r i s e now
lay blue with k nine soon,set blue at p e now
place green by r zero now,bin bin at p set soon
lay red with f zero now,bin blue i f e now
lay white in y eight please,lay bin i p e now
set red at u three soon,set r i f e now
set white by i five soon,set blue by f e now
set red at n eight now,set blue at r set now
