Truth,Decoded
set blue in g five soon,set blue with u z soon
set green in o nine again,set green i q e again
lay white with f seven soon,lay white with m two soon
place blue at v two now,place blue with u two now
place blue at p zero please,place blue with u seven please
place red in v six please,place white with b seven please
place white by x nine soon,place white by s eight soon
set white in h seven soon,set white i g seven soon
lay blue with e five soon,at blue with u five soon
bin white with u two please,bin white with u four please
place green by k eight please,place h by p eight please
set green with q one again,lay e with q one please
bin white with u three again,bin white with o four please
set red by i one again,set e by a one please
lay white in e four now,lay white with c four now
place red by d zero now,place blue by g t now
set white at o five soon,set white in u nine soon
place blue with d zero please,place blue with e e please
set red in n five soon,bin green with k seven soon
place red at j zero now,place white i g two now
bin green in t five soon,bin blue with d two soon
place red by j four now,place blue by g four now
place white at d four please,place white i n four please
set green by j two please,set green by g e please
place red with q three soon,place white with m four soon
set red at o one again,set e in n one please
place red at c six now,place red bin c six soon
lay blue in j seven soon,lay blue with g two soon
set green by p seven again,lay green by p seven please
lay red by l three again,lay red by n e please
place green with l two please,place e with u one please
bin green with o three soon,place blue with q four soon
place green in q two now,place green i q two now
place green with y eight now,place blue with t one again
lay blue in q two please,lay blue i u e please
place blue at c two please,place blue in g zero soon
set green at p zero now,set green with b four now
bin blue by s four now,bin blue by s four one
place green by y five soon,place green at b five soon
place green in x six now,place blue with d six again
place blue by i nine soon,place blue i e nine soon
place blue in o seven again,set blue i b four soon
bin white at n one again,bin white a k in soon
bin green with h nine soon,place blue with t six soon
lay green with m six now,lay blue with p e please
lay white in l zero please,lay white in q e please
bin blue at s two please,bin blue i q e please
bin white by t six now,bin white by d six now
place white with y two now,place white with b two now
place red by d two please,place white by y two please
