Truth,Decoded
set blue in g five soon,set blue with u zero soon
set green in o nine again,set green i q eight again
lay white with f seven soon,lay white with m two soon
place blue at v two now,place blue with u two again
place blue at p zero please,place blue with u set please
place red in v six please,place white with b seven please
place white by x nine soon,place white by d teih soon
set white in h seven soon,set white i g zero soon
lay blue with e five soon,at blue with u five soon
bin white with u two please,bin white with u four please
place green by k eight please,place green bin p eight please
set green with q one again,lay green with g one please
bin white with u three again,bin white with u two please
set red by i one again,set red by a one again
lay white in e four now,lay white with p four soon
place red by d zero now,place blue by z two now
set white at o five soon,set white in q e soon
place blue with d zero please,place blue with u two please
set red in n five soon,set green with k seven soon
place red at j zero now,place white i g two now
bin green in t five soon,bin green with g two soon
place red by j four now,place green by g four now
place white at d four please,place white i n four please
set green by j two please,set blue by g two please
place red with q three soon,place green with m four soon
set red at o one again,set green i m e please
place red at c six now,place red at g zero soon
lay blue in j seven soon,lay blue with g two soon
set green by p seven again,lay green at p seven please
lay red by l three again,lay green by a e please
place green with l two please,place green with u four please
bin green with o three soon,place blue with q four soon
place green in q two now,place green i q two now
place green with y eight now,place blue with t i again
lay blue in q two please,lay blue i q two please
place blue at c two please,place blue a g zero soon
set green at p zero now,set green with b four now
bin blue by s four now,bin blue by n four now
place green by y five soon,place green by b five soon
place green in x six now,place blue i s six again
place blue by i nine soon,place blue with e e soon
place blue in o seven again,set blue bin b soon soon
bin white at n one again,bin white a k set soon
bin green with h nine soon,place blue with p six soon
lay green with m six now,lay blue with p zero soon
lay white in l zero please,lay white a q seven soon
bin blue at s two please,bin blue i q two please
bin white by t six now,bin white by p seven now
place white with y two now,place blue by b two now
place red by d two please,place white by n two please
