Truth,Decoded
lay red at e two now,lay green i t e soon
set red with i two now,set green i j e soon
bin blue at l eight please,lay blue by p i soon
lay green in s zero please,bin red i y i soon
place white in p nine again,bin white bin p six soon
lay red at k eight please,lay green i j e now
lay red by z one again,place green i y i now
set green in o eight please,set green i j e now
set green with p eight now,set blue by p i soon
lay blue with k eight now,place e by p i soon
bin red in z six now,bin white i t two soon
bin red in s five again,bin white i j e soon
bin white by g eight now,bin blue by y i soon
set green with j four now,bin e with t e soon
place white with r zero please,place white by f e soon
lay blue by y three soon,lay blue at y e soon
place green by e three soon,place white i y e soon
lay blue in x six please,lay green at j five now
lay red with l five soon,lay white with q i soon
bin blue with m five soon,bin blue bin b e soon
set green at v five soon,set green i o e soon
set white with p four please,set green at b e soon
bin green with b seven again,bin e blue with f e soon
set green in v zero now,set green with u e soon
lay white at z three again,lay white i u five soon
bin red at f nine soon,bin blue i j e soon
bin white with h two now,bin blue i t e soon
set blue by a eight now,bin r a a i soon
lay white with s four now,lay green by u i soon
set green with j six please,set green with p e soon
bin white at a one soon,lay blue by r e soon
lay green in z three soon,lay green i t e soon
lay blue with y eight please,bin blue i b five neaon
bin green at h one soon,bin green i s bin soon
place green by y four now,lay blue at b five now
lay red in k four please,place e i t e soon
set blue at n five again,set blue i y i now
bin red at m two now,bin five i u i soon
set red with b nine soon,set e i u i soon
place white at j eight please,bin r i j e now
lay blue with r four please,set blue at p i soon
place blue in u nine soon,place blue i s two soon
set red by b seven again,bin red by b i soon
set white in u six please,set e i t e soon
place green by y six please,place white at b i now
bin green by b two please,place blue by b e soon
place green at k four please,place green i u e soon
lay blue in d four please,a red by f e soon
set blue by n nine again,set white i a i soon
set green with d one soon,set e b b e soon
