Truth,Decoded
bin blue with t zero please,bin blue with t zero please
set white in u four now,set white i u four now
lay green in l seven again,lay green i q seven please
set blue with h seven soon,set blue i u seven soon
lay blue with e six please,lay blue with y seven please
set white at u nine soon,set white a q eight soon
set white at b eight please,set white with m eight please
lay blue by k four now,lay blue by n four now
lay blue by y two now,place blue by p two now
lay blue at q four now,set blue with u four soon
lay white by s three again,lay white by n e please
bin blue by f seven soon,bin blue by f four soon
set blue with b five again,set blue with f five please
place white in j three soon,place red in g green soon
lay blue in d two now,set blue i o two again
lay green in r nine soon,a green in n eight soon
lay red in q nine again,lay white i u eight again
bin blue by z nine soon,bin blue by q nine soon
set blue with h six now,set blue i e set soon
place red at j two please,place red in q zero soon
set blue at a six please,set blue at s six please
place white by y zero please,place white by y four please
bin white with n nine again,bin white with t eight soon
place blue in v zero please,place blue with u set please
bin green by b one soon,place blue with p one soon
lay white with s five soon,place blue with o four soon
set green with d two please,set green with q two please
place green by e two now,place green by u two now
bin blue with s nine soon,bin blue with c six soon
bin white at a three again,bin white in f seven again
place green in d four now,place green i c four now
lay green with g five again,lay blue with q five please
lay blue at k two please,a blue i k four please
set white by i seven again,set white by n seven please
set blue in n zero please,set blue with k two please
bin red in m one again,bin red a m one please
lay red with l six please,set white with u six please
bin green in g seven soon,place green i c two soon
bin white with h five again,bin white with u five please
lay green with m eight please,set green with t with please
bin blue in z two please,bin blue a q three please
place red with j nine soon,place white with u eight soon
lay red in k three soon,set white at c four soon
lay white by s zero now,lay white by q two soon
set blue by n eight please,set blue by a in please
bin green in a three soon,bin blue i z two soon
bin red at f eight now,bin white in k set now
lay blue by r one again,lay blue by b one again
set red with c one again,set green with q four again
set blue at a seven again,set green by n seven please
