Truth,Decoded
bin blue with t zero please,bin blue with x e again
set white in u four now,a blue i x e again
lay green in l seven again,lay r i s e again
set blue with h seven soon,a blue i s e again
lay blue with e six please,a blue i j e again
set white at u nine soon,a blue i s i again
set white at b eight please,bin blue i x i again
lay blue by k four now,a e i s e again
lay blue by y two now,bin blue i x e again
lay blue at q four now,a blue i j e again
lay white by s three again,a r i s i again
bin blue by f seven soon,a blue i s i again
set blue with b five again,a bin i s e again
place white in j three soon,bin blue i j e again
lay blue in d two now,a r i x e again
lay green in r nine soon,a r i s e again
lay red in q nine again,a r i x e again
bin blue by z nine soon,bin blue i x i again
set blue with h six now,a blue with x i again
place red at j two please,bin blue i s e again
set blue at a six please,a blue at s e again
place white by y zero please,bin blue i j e again
bin white with n nine again,bin blue i p bin again
place blue in v zero please,bin blue i j e again
bin green by b one soon,bin blue i j i again
lay white with s five soon,lay blue i s e again
set green with d two please,a blue i j i again
place green by e two now,a blue i x e again
bin blue with s nine soon,bin blue with x e again
bin white at a three again,lay blue i s e again
place green in d four now,bin blue i j e again
lay green with g five again,a e i j i again
lay blue at k two please,a r i x i again
set white by i seven again,a blue i s e again
set blue in n zero please,bin blue with x e again
bin red in m one again,bin blue i s e again
lay red with l six please,a r i j e again
bin green in g seven soon,bin blue i s e again
bin white with h five again,bin blue i j e again
lay green with m eight please,a bin i x i again
bin blue in z two please,bin blue i s e again
place red with j nine soon,bin blue i x e again
lay red in k three soon,a r i s e again
lay white by s zero now,lay r i x i again
set blue by n eight please,a blue i s e again
bin green in a three soon,bin blue i s e again
bin red at f eight now,bin blue i s e again
lay blue by r one again,a r i p e again
set red with c one again,bin blue i j i again
set blue at a seven again,a blue i x i again
