Truth,Decoded
bin blue with t zero please,bin blue with t green please
set white in u four now,set white i u four now
lay green in l seven again,lay green i u seven please
set blue with h seven soon,set blue i g seven soon
lay blue with e six please,lay blue with u seven please
set white at u nine soon,set white bin u eight soon
set white at b eight please,set white with p eight please
lay blue by k four now,lay blue by s four now
lay blue by y two now,place blue by b two now
lay blue at q four now,set blue with u four soon
lay white by s three again,lay white by b e please
bin blue by f seven soon,bin blue by f four soon
set blue with b five again,set blue with p five please
place white in j three soon,place red bin g seven soon
lay blue in d two now,set blue with u two again
lay green in r nine soon,a green i n eight soon
lay red in q nine again,lay white i u eight again
bin blue by z nine soon,bin blue by b nine soon
set blue with h six now,set blue with u six soon
place red at j two please,place blue bin q e soon
set blue at a six please,set blue at s six please
place white by y zero please,place white by b four please
bin white with n nine again,bin white with i eight soon
place blue in v zero please,place blue with u two soon
bin green by b one soon,place blue with b one soon
lay white with s five soon,place white with o four soon
set green with d two please,set green with m two please
place green by e two now,place green by u two now
bin blue with s nine soon,bin blue with c nine soon
bin white at a three again,bin white i k set again
place green in d four now,place green i c four now
lay green with g five again,lay green with u five please
lay blue at k two please,lay blue with k one please
set white by i seven again,set white by a seven please
set blue in n zero please,set blue with k e please
bin red in m one again,place red i m one please
lay red with l six please,set white with u six please
bin green in g seven soon,a green i c two soon
bin white with h five again,bin white with u five please
lay green with m eight please,set green with b eight please
bin blue in z two please,bin blue i q three please
place red with j nine soon,place white with v eight soon
lay red in k three soon,lay white at c four soon
lay white by s zero now,lay white by b two soon
set blue by n eight please,set blue by b in please
bin green in a three soon,bin blue with e two soon
bin red at f eight now,bin blue in m set now
lay blue by r one again,lay blue by b one again
set red with c one again,a green with m four again
set blue at a seven again,set blue by e seven please
