Truth,Decoded
set blue in g five soon,set green at u e soon
set green in o nine again,set green i o nine please
lay white with f seven soon,place white by u in soon
place blue at v two now,lay white at p one neasn
place blue at p zero please,place white by p nine please
place red in v six please,place white by b one please
place white by x nine soon,place white by s nine now
set white in h seven soon,set red a l one neaon
lay blue with e five soon,place green at u nine soon
bin white with u two please,bin white by u one please
place green by k eight please,place blue by f one please
set green with q one again,set blue with y one please
bin white with u three again,bin white bin u one please
set red by i one again,set white by y in please
lay white in e four now,lay white by p in soon
place red by d zero now,place blue by p nine now
set white at o five soon,set five i n one neasn
place blue with d zero please,place white at u one please
set red in n five soon,set green i s nine now
place red at j zero now,place white by n bin soon
bin green in t five soon,a blue i t nine soon
place red by j four now,place white by b in neasn
place white at d four please,bin white by y nine please
set green by j two please,set e by f one please
place red with q three soon,place white by u one now
set red at o one again,set bin i p one neaon
place red at c six now,place white i n nine now
lay blue in j seven soon,place blue with o one now
set green by p seven again,set green by b nine now
lay red by l three again,lay green by n nine please
place green with l two please,place r at u one please
bin green with o three soon,bin blue i u one neaon
place green in q two now,place green i u nine now
place green with y eight now,bin blue i p nine please
lay blue in q two please,set blue i u one please
place blue at c two please,place blue i a nine now
set green at p zero now,set green i p in now
bin blue by s four now,bin blue by y in now
place green by y five soon,place white by p in neaon
place green in x six now,place e i s nine now
place blue by i nine soon,bin white by p nine soon
place blue in o seven again,b bin at bin again
bin white at n one again,bin white i h in now
bin green with h nine soon,bin blue i s one now
lay green with m six now,lay blue i p one please
lay white in l zero please,lay white i l one please
bin blue at s two please,bin blue i o one please
bin white by t six now,bin white by s nine now
place white with y two now,place white by p in now
place red by d two please,a white by y in neasn
