Truth,Decoded
bin green with h eight now,place blue i g eight again
lay green with a one again,lay green with u one again
place green in d seven again,place blue i c seven please
set green at p three again,lay green in b six please
bin white with h three soon,set white i g two soon
set blue in t two now,set blue in g two now
bin blue by s six please,bin blue by g six please
set red with v zero now,set white with t two again
place blue by c six please,place blue by c six please
set red in n four now,set red in f four now
bin white at t five again,bin white i c five please
lay white at r eight please,set white a i eight please
lay white at r nine again,set white in r eight please
lay green in z five again,place green with b five again
bin white in g three again,bin white i g two again
bin white by n two now,bin white by h two now
bin green in n one soon,bin blue with m one soon
bin blue in l three soon,bin blue in g four soon
bin white in g one soon,bin white a q one soon
lay green by s eight please,lay blue by a eight please
lay green at l eight now,set green with n eight soon
bin green by h four now,place r by l four now
bin blue at z four now,bin blue at f four now
bin white in m five soon,bin white a c five soon
set red in u one again,set white in g one soon
set blue with u five soon,set blue with u one soon
bin red with a three soon,bin white with u e soon
set green in c one again,set e i d one please
lay white by l six now,place white by o seven now
set white by o nine soon,set white by o nine soon
place white in p seven soon,place white with c e soon
set blue by h four please,set blue with g two please
set red by i zero please,set h by t three please
set red at n nine soon,set green in n in one
place white in x one soon,place white a c one soon
set white at i two please,set white i r e please
place red in v four now,place white with b four now
lay blue at d eight please,lay blue with m eight please
place green in d six please,place green in c set please
bin green by n nine soon,bin blue with b teihe soon
place blue in i zero now,place blue with u four soon
bin blue by f eight please,lay blue with b i please
lay white at z zero now,lay white i g two please
set white in h nine again,set white i d eight please
lay green at z six now,lay green in c six again
place red by j seven again,place red by b seven please
place red with q four please,place blue with u four please
lay blue at y zero please,lay blue a u three please
lay green by s nine again,lay green by s eight please
set green by j one soon,set green by g one soon
