Truth,Decoded
set blue in g five soon,set blue bin e zero soon
set green in o nine again,set green i q eight again
lay white with f seven soon,lay white with m two soon
place blue at v two now,place blue with u two now
place blue at p zero please,place blue with u zero please
place red in v six please,place white with b seven please
place white by x nine soon,place white by d eight soon
set white in h seven soon,set white i g two soon
lay blue with e five soon,lay blue with u five soon
bin white with u two please,bin white with u four please
place green by k eight please,place white by p eight please
set green with q one again,lay green with q one again
bin white with u three again,bin white with o two again
set red by i one again,set red by l one again
lay white in e four now,lay white with c four soon
place red by d zero now,place e by d two now
set white at o five soon,set white in u nine soon
place blue with d zero please,place blue with g zero please
set red in n five soon,set green with k seven soon
place red at j zero now,place white i g two now
bin green in t five soon,bin bin i d two soon
place red by j four now,place r by g four now
place white at d four please,place white i n four please
set green by j two please,set green by g zero please
place red with q three soon,place white with m four soon
set red at o one again,set r i n one please
place red at c six now,place red by g six soon
lay blue in j seven soon,lay blue i g two soon
set green by p seven again,lay green by p seven again
lay red by l three again,lay red by a zero please
place green with l two please,place green with u four please
bin green with o three soon,place blue with q four soon
place green in q two now,place green i q two now
place green with y eight now,place blue with t set again
lay blue in q two please,lay blue at q two please
place blue at c two please,place blue a g zero soon
set green at p zero now,set green with b two now
bin blue by s four now,bin blue by b four now
place green by y five soon,place green by b five soon
place green in x six now,place blue with d six again
place blue by i nine soon,place blue i e nine soon
place blue in o seven again,set blue bin b four soon
bin white at n one again,bin white a k eight soon
bin green with h nine soon,place blue with d six soon
lay green with m six now,lay blue with b zero soon
lay white in l zero please,lay white in q seven soon
bin blue at s two please,bin blue i q two soon
bin white by t six now,bin white by p six now
place white with y two now,place white by b two now
place red by d two please,place white by b zero please
