Truth,Decoded
bin blue with t zero please,place blue by p set soon
set white in u four now,set white i u e now
lay green in l seven again,lay green i l e please
set blue with h seven soon,lay blue i l e soon
lay blue with e six please,lay blue with b set please
set white at u nine soon,set white i u e soon
set white at b eight please,set white by b e please
lay blue by k four now,lay blue by b e now
lay blue by y two now,place blue by p e now
lay blue at q four now,lay blue i u e soon
lay white by s three again,lay white by b e please
bin blue by f seven soon,a blue by b e soon
set blue with b five again,lay blue by l five please
place white in j three soon,place white by l e soon
lay blue in d two now,lay blue at p set again
lay green in r nine soon,lay green i l i now
lay red in q nine again,lay white i u e again
bin blue by z nine soon,bin blue by b e now
set blue with h six now,a blue by b set soon
place red at j two please,place white by l e soon
set blue at a six please,lay blue a m in please
place white by y zero please,place white by b e now
bin white with n nine again,bin blue by b in please
place blue in v zero please,place blue at p e please
bin green by b one soon,place blue by b e soon
lay white with s five soon,place green i u e soon
set green with d two please,set green at f e blue
place green by e two now,place e i q e soon
bin blue with s nine soon,bin blue with p set soon
bin white at a three again,a white by x in please
place green in d four now,place green i u e now
lay green with g five again,lay r with p set please
lay blue at k two please,a blue by p set soon
set white by i seven again,set white by b i again
set blue in n zero please,place blue at p set soon
bin red in m one again,place r at s i please
lay red with l six please,lay white with p set please
bin green in g seven soon,place r a s set soon
bin white with h five again,bin white with f e please
lay green with m eight please,lay red with p e please
bin blue in z two please,bin blue i g e soon
place red with j nine soon,place white with u set soon
lay red in k three soon,lay white i l e soon
lay white by s zero now,lay white by b e soon
set blue by n eight please,set blue by b in again
bin green in a three soon,place bin i l e soon
bin red at f eight now,bin blue at l six now
lay blue by r one again,lay blue by b in please
set red with c one again,bin bin a l e please
set blue at a seven again,set green by p set please
