Truth,Decoded
lay red at e two now,lay white i u e soon
set red with i two now,set green with o two soon
bin blue at l eight please,lay blue i p in please
lay green in s zero please,bin green i p i soon
place white in p nine again,place white at p nine please
lay red at k eight please,lay e i m in again
lay red by z one again,a red i b in please
set green in o eight please,at green in m e soon
set green with p eight now,set green with b nine now
lay blue with k eight now,set blue with u six again
bin red in z six now,bin white at c set again
bin red in s five again,bin blue i f e please
bin white by g eight now,a white by b bin now
set green with j four now,bin green with u e soon
place white with r zero please,place white with u e blue
lay blue by y three soon,set blue i b e soon
place green by e three soon,place blue i b e soon
lay blue in x six please,lay blue in u e please
lay red with l five soon,lay white with u e soon
bin blue with m five soon,bin blue with p e soon
set green at v five soon,set green with f e soon
set white with p four please,set white with p e blue
bin green with b seven again,place blue with p set please
set green in v zero now,set green with u e soon
lay white at z three again,lay white i u e please
bin red at f nine soon,bin blue i f e soon
bin white with h two now,bin blue with u e now
set blue by a eight now,bin blue by l six again
lay white with s four now,lay white with f e again
set green with j six please,at green with p nine please
bin white at a one soon,lay blue by u e soon
lay green in z three soon,lay green i q e soon
lay blue with y eight please,bin blue by m e again
bin green at h one soon,bin green with u e soon
place green by y four now,place blue at b e now
lay red in k four please,set white i l e soon
set blue at n five again,set blue i r e please
bin red at m two now,bin white i u e now
set red with b nine soon,set white with u e soon
place white at j eight please,place white in l in please
lay blue with r four please,set blue i p e please
place blue in u nine soon,place blue i u e soon
set red by b seven again,bin green by b e please
set white in u six please,set green by u e please
place green by y six please,place blue at b e please
bin green by b two please,place blue by p e please
place green at k four please,place blue i m e please
lay blue in d four please,lay blue i u e soon
set blue by n nine again,set blue bin x nine please
set green with d one soon,set blue with p e soon
