Truth,Decoded
lay red by y nine soon,place green by y in soon
lay red with z two now,lay white with p two soon
lay green in z four please,lay green i u four please
lay red by l zero now,lay white by b two now
lay white in e five soon,lay white at c e soon
place blue at i seven again,place blue i r seven again
set green in i four please,set green i f four blue
set green at v four now,lay green with b four now
lay blue by q eight now,set blue by b r one
place red with k zero please,place white with v two soon
lay red at r three again,set white i r four soon
set red with v three again,lay white with u two please
set green by p six please,set green with b six please
place red by x four please,place white by b four please
set blue by a nine soon,set blue by b e soon
bin green by b three again,place blue i m e please
lay red with z five again,lay white with u e again
bin white in g zero now,bin white at g two now
lay blue in j eight please,set blue with n e please
set green by c six now,set green by b six soon
bin blue with s eight now,bin blue with t six again
bin green in g eight please,place white with t eight please
set blue in t four please,set blue i u four please
bin white at g four now,bin white at u four now
place red at x zero please,place blue i a e please
set red with o six now,lay white with o zero now
place green in x seven soon,place e i n seven soon
set green with x five again,place green with u two please
bin red by g four please,bin white by y four please
lay red with f three again,a blue with b four please
set blue at g nine soon,set blue with u six soon
bin blue at f two now,set blue by b four now
lay green at f seven again,lay e a m r please
set blue in a zero now,set blue at j zero soon
lay red in y zero now,bin blue with m i please
lay blue by k six please,set blue by p set please
place green by r three again,place e with b one please
place blue at p one again,place blue i y one again
lay green at m zero please,set green with m one please
set green in b nine soon,lay green with m in soon
place white in p eight please,place white by m eight please
set white at i one soon,set white i o o soon
set red at h six please,set white a k six please
lay blue with k nine soon,lay blue with v six soon
place green by r zero now,place blue by b four now
lay red with f zero now,place white with u four again
lay white in y eight please,lay white a y in please
set red at u three soon,lay white at u two soon
set white by i five soon,set white by b five soon
set red at n eight now,set r a n set again
