Truth,Decoded
bin blue with t zero please,bin blue with u set please
set white in u four now,set white i u two now
lay green in l seven again,lay green i z e soon
set blue with h seven soon,lay blue i u six soon
lay blue with e six please,lay blue with b set please
set white at u nine soon,set white in u r soon
set white at b eight please,set white i b nine please
lay blue by k four now,lay blue by b four now
lay blue by y two now,place blue by b one now
lay blue at q four now,set blue i u four soon
lay white by s three again,lay white by b e please
bin blue by f seven soon,bin blue by y four soon
set blue with b five again,set blue bin b in please
place white in j three soon,place white by j e soon
lay blue in d two now,set blue i u two again
lay green in r nine soon,lay green i k set soon
lay red in q nine again,set white i u two again
bin blue by z nine soon,bin blue by b bin soon
set blue with h six now,set blue i p set again
place red at j two please,place white by g four soon
set blue at a six please,lay blue a s six please
place white by y zero please,place white i b one blue
bin white with n nine again,bin white with t with soon
place blue in v zero please,place blue i u four please
bin green by b one soon,place r with b four soon
lay white with s five soon,place blue i u one soon
set green with d two please,set green with i four please
place green by e two now,place green by q t now
bin blue with s nine soon,bin blue with c r soon
bin white at a three again,bin white i t e please
place green in d four now,place green i z four now
lay green with g five again,lay blue with b e again
lay blue at k two please,at blue i k four blue
set white by i seven again,set white by b i please
set blue in n zero please,set blue i p r please
bin red in m one again,bin white i z one please
lay red with l six please,set white with u set please
bin green in g seven soon,place green i d e soon
bin white with h five again,bin white with v five please
lay green with m eight please,set green with b nine please
bin blue in z two please,bin blue i u e please
place red with j nine soon,place white with u bin soon
lay red in k three soon,set white i c e soon
lay white by s zero now,lay white by p two soon
set blue by n eight please,set blue by b in please
bin green in a three soon,bin e i z two soon
bin red at f eight now,bin white i k eight now
lay blue by r one again,set blue by b one again
set red with c one again,bin red i m four please
set blue at a seven again,set green at p set please
