Truth,Decoded
bin green with h eight now,bin blue i s six again
lay green with a one again,lay e with o e again
place green in d seven again,place e i s six soon
set green at p three again,lay green at p e please
bin white with h three soon,set white by r e soon
set blue in t two now,set blue i g e now
bin blue by s six please,bin blue by s six please
set red with v zero now,set blue with p set again
place blue by c six please,place blue by s nine please
set red in n four now,set r i u e now
bin white at t five again,bin white at l five please
lay white at r eight please,at white by l in again
lay white at r nine again,set white by f i again
lay green in z five again,lay green with p i again
bin white in g three again,set blue by y six again
bin white by n two now,bin white by f e now
bin green in n one soon,bin blue with p e soon
bin blue in l three soon,bin blue i q e soon
bin white in g one soon,bin white i q e soon
lay green by s eight please,lay blue by l in please
lay green at l eight now,lay green with n bin now
bin green by h four now,a blue by b e soon
bin blue at z four now,bin blue i o e now
bin white in m five soon,bin white at m e now
set red in u one again,set green i q e soon
set blue with u five soon,a blue with p e soon
bin red with a three soon,bin blue with u e soon
set green in c one again,set e i p e soon
lay white by l six now,place white i l bin now
set white by o nine soon,set white by b e soon
place white in p seven soon,bin white i u e soon
set blue by h four please,set blue at o e please
set red by i zero please,set green by b i soon
set red at n nine soon,set red at p in again
place white in x one soon,place white by l e soon
set white at i two please,bin green by y nine blue
place red in v four now,place blue by p e now
lay blue at d eight please,lay blue with u nine please
place green in d six please,place green in s six please
bin green by n nine soon,bin blue i b i soon
place blue in i zero now,place blue i q e soon
bin blue by f eight please,bin bin at p e please
lay white at z zero now,place white by i two soon
set white in h nine again,blue white by s six again
lay green at z six now,lay r a s six now
place red by j seven again,place r by b i soon
place red with q four please,place blue at p e soon
lay blue at y zero please,lay blue i y e soon
lay green by s nine again,lay blue by s nine again
set green by j one soon,set blue by f e soon
