Truth,Decoded
set blue in g five soon,a bin i n e again
set green in o nine again,a bin i n i again
lay white with f seven soon,a bin i n i again
place blue at v two now,a blue i n i again
place blue at p zero please,a bin i n i again
place red in v six please,a bin i n i again
place white by x nine soon,a bin i n i again
set white in h seven soon,a e i n i again
lay blue with e five soon,a bin i n i again
bin white with u two please,a blue i n i again
place green by k eight please,a bin i n i again
set green with q one again,a bin i n i again
bin white with u three again,a blue i n i again
set red by i one again,a bin i n e again
lay white in e four now,a bin i n e again
place red by d zero now,a bin i n e again
set white at o five soon,a bin i n i again
place blue with d zero please,a bin i n i again
set red in n five soon,a bin i n i again
place red at j zero now,a bin i n e again
bin green in t five soon,a bin i n i again
place red by j four now,a bin i n i again
place white at d four please,a blue i n i again
set green by j two please,a bin i n i again
place red with q three soon,a bin i n i again
set red at o one again,a bin i n i again
place red at c six now,a bin i n i again
lay blue in j seven soon,a bin i n i again
set green by p seven again,a bin i n i again
lay red by l three again,a e i n i again
place green with l two please,a bin i q i again
bin green with o three soon,a blue i n i again
place green in q two now,a bin i n i again
place green with y eight now,a blue i n e again
lay blue in q two please,a bin i n i again
place blue at c two please,a bin i n i again
set green at p zero now,a bin i n i again
bin blue by s four now,a blue i n e again
place green by y five soon,a bin i n i again
place green in x six now,a bin i n i again
place blue by i nine soon,a blue i n i again
place blue in o seven again,b i i i pngaon
bin white at n one again,a bin i n e again
bin green with h nine soon,a bin i n i again
lay green with m six now,a bin i n i again
lay white in l zero please,a bin i n i again
bin blue at s two please,a bin i n i again
bin white by t six now,a bin i n i again
place white with y two now,a bin i n i again
place red by d two please,a blue i n e again
