Truth,Decoded
lay red by y nine soon,place five by y i soon
lay red with z two now,a white with p e soon
lay green in z four please,lay green i f e please
lay red by l zero now,set white by b e soon
lay white in e five soon,lay white at f e soon
place blue at i seven again,place white i i six please
set green in i four please,set green i f e soon
set green at v four now,set green with p e soon
lay blue by q eight now,set blue by b r soon
place red with k zero please,place green with i e soon
lay red at r three again,set white i f e soon
set red with v three again,set white with u e please
set green by p six please,set green with b in please
place red by x four please,place white by b nine please
set blue by a nine soon,set blue i b in soon
bin green by b three again,bin blue i p e please
lay red with z five again,lay white with v e again
bin white in g zero now,bin white i g e now
lay blue in j eight please,set blue with p in please
set green by c six now,bin green in b six again
bin blue with s eight now,bin blue with p six again
bin green in g eight please,bin white with s nine please
set blue in t four please,bin blue with q e soon
bin white at g four now,bin white i q e now
place red at x zero please,place bin i l five soon
set red with o six now,lay white with u six now
place green in x seven soon,place blue i s six soon
set green with x five again,lay red with u e please
bin red by g four please,bin blue by y e place
lay red with f three again,set green with p set place
set blue at g nine soon,set blue with u six soon
bin blue at f two now,set blue by p e soon
lay green at f seven again,lay e i m bin please
set blue in a zero now,set blue i q two soon
lay red in y zero now,bin blue with b e please
lay blue by k six please,bin green by b nine please
place green by r three again,place blue i b i again
place blue at p one again,place blue i y i again
lay green at m zero please,set green i t e soon
set green in b nine soon,lay green with m five soon
place white in p eight please,place white by m in please
set white at i one soon,set white with o e soon
set red at h six please,set white i l six please
lay blue with k nine soon,lay blue with v six soon
place green by r zero now,place blue i b i now
lay red with f zero now,place blue with q e one
lay white in y eight please,lay white i b in please
set red at u three soon,at white i q e soon
set white by i five soon,set white by b five soon
set red at n eight now,set white in a e again
