Truth,Decoded
lay red at e two now,lay white at z e soon
set red with i two now,set green with o two one
bin blue at l eight please,lay blue i p in please
lay green in s zero please,bin green i n r soon
place white in p nine again,place white i b e please
lay red at k eight please,lay blue i a in again
lay red by z one again,lay red by b e please
set green in o eight please,lay green in m r soon
set green with p eight now,lay bin with b set now
lay blue with k eight now,set blue with v nine again
bin red in z six now,bin white a q two now
bin red in s five again,bin red at f e please
bin white by g eight now,bin white by b set now
set green with j four now,bin green with u e soon
place white with r zero please,place white with u e please
lay blue by y three soon,set blue i y five soon
place green by e three soon,place blue with b r soon
lay blue in x six please,lay blue at l set please
lay red with l five soon,lay white with u five soon
bin blue with m five soon,bin blue with v five soon
set green at v five soon,set green i v four soon
set white with p four please,set white with b one please
bin green with b seven again,place blue with p set please
set green in v zero now,set green with v four soon
lay white at z three again,lay white i u e please
bin red at f nine soon,bin blue i f e soon
bin white with h two now,bin white with u e bin
set blue by a eight now,set blue by k e again
lay white with s four now,lay white with f e again
set green with j six please,set green with v six please
bin white at a one soon,bin white by j one soon
lay green in z three soon,lay green i q e soon
lay blue with y eight please,place blue at m one again
bin green at h one soon,bin green i a four soon
place green by y four now,bin blue by b one now
lay red in k four please,set white i l four soon
set blue at n five again,set blue a m five please
bin red at m two now,bin white at u one now
set red with b nine soon,set white with v bin soon
place white at j eight please,place white bin l in please
lay blue with r four please,set blue with p one please
place blue in u nine soon,place blue i u e soon
set red by b seven again,bin green by b e soon
set white in u six please,set green by u one please
place green by y six please,place blue i b in please
bin green by b two please,place blue by p four please
place green at k four please,place blue i m four please
lay blue in d four please,lay blue i u four soon
set blue by n nine again,set blue by k nine please
set green with d one soon,set green with b one soon
