Truth,Decoded
bin green with h eight now,bin blue i s six again
lay green with a one again,lay e with o e again
place green in d seven again,place green i s six soon
set green at p three again,lay green i p e please
bin white with h three soon,set white i r r soon
set blue in t two now,set blue i j e now
bin blue by s six please,bin blue by s six please
set red with v zero now,set red with p s now
place blue by c six please,place blue by s six please
set red in n four now,set red i u four now
bin white at t five again,bin white at z five please
lay white at r eight please,set white i r e please
lay white at r nine again,set white i n eight please
lay green in z five again,place green with p in again
bin white in g three again,bin white i y e please
bin white by n two now,bin white by y e now
bin green in n one soon,bin blue with p e soon
bin blue in l three soon,bin blue i o e soon
bin white in g one soon,bin white a q four soon
lay green by s eight please,lay blue by s nine please
lay green at l eight now,lay green with n eight now
bin green by h four now,bin green i b e soon
bin blue at z four now,bin blue in o four now
bin white in m five soon,bin white at m five soon
set red in u one again,set white i o r soon
set blue with u five soon,set blue with p e soon
bin red with a three soon,bin blue i u four soon
set green in c one again,set green i p e please
lay white by l six now,lay white i y six now
set white by o nine soon,set white by b t soon
place white in p seven soon,bin white i z e soon
set blue by h four please,blue blue at o four ploaon
set red by i zero please,set green by b in soon
set red at n nine soon,set set i i n now
place white in x one soon,place white a l e soon
set white at i two please,bin green i y in place
place red in v four now,place white by p four now
lay blue at d eight please,lay blue with m i please
place green in d six please,place green in s nine place
bin green by n nine soon,bin blue i b in soon
place blue in i zero now,place blue with o t now
bin blue by f eight please,bin bin i p in please
lay white at z zero now,lay white i i zero soon
set white in h nine again,set white i s eight please
lay green at z six now,lay white i c six soon
place red by j seven again,place red by b i soon
place red with q four please,place r i p four soon
lay blue at y zero please,lay blue i y e blue
lay green by s nine again,lay blue by s set please
set green by j one soon,set green by u four soon
