Truth,Decoded
set blue in g five soon,a r n
set green in o nine again,a r n
lay white with f seven soon,a r n
place blue at v two now,a r n
place blue at p zero please,a r n
place red in v six please,a r n
place white by x nine soon,a r n
set white in h seven soon,a r n
lay blue with e five soon,a r n
bin white with u two please,a r n
place green by k eight please,a r n
set green with q one again,a r n
bin white with u three again,a r n
set red by i one again,a r n
lay white in e four now,a r n
place red by d zero now,a r n
set white at o five soon,a r n
place blue with d zero please,a r n
set red in n five soon,a r n
place red at j zero now,a r n
bin green in t five soon,a r n
place red by j four now,a r n
place white at d four please,a r n
set green by j two please,a r n
place red with q three soon,a r n
set red at o one again,a r n
place red at c six now,a r n
lay blue in j seven soon,a r n
set green by p seven again,a r n
lay red by l three again,a r n
place green with l two please,a r n
bin green with o three soon,a r n
place green in q two now,a r n
place green with y eight now,a r n
lay blue in q two please,a r n
place blue at c two please,a r n
set green at p zero now,a r n
bin blue by s four now,a r n
place green by y five soon,a r n
place green in x six now,a r n
place blue by i nine soon,a r n
place blue in o seven again,b r i e now
bin white at n one again,a r n
bin green with h nine soon,a r n
lay green with m six now,a r n
lay white in l zero please,a r n
bin blue at s two please,a r n
bin white by t six now,a r n
place white with y two now,a r n
place red by d two please,a r n
