Truth,Decoded
lay red at e two now,lay blue a z two now
set red with i two now,set green with o four now
bin blue at l eight please,lay blue i a g please
lay green in s zero please,lay green i n two soon
place white in p nine again,place white i p eight soon
lay red at k eight please,lay blue at n in please
lay red by z one again,lay red by p nine please
set green in o eight please,lay green in m i soon
set green with p eight now,lay green with b eight now
lay blue with k eight now,set blue with t eight again
bin red in z six now,bin white i g zero now
bin red in s five again,bin red at z five please
bin white by g eight now,bin white by p set now
set green with j four now,bin blue with o e soon
place white with r zero please,place white with u two please
lay blue by y three soon,lay blue by y one soon
place green by e three soon,place blue with p one soon
lay blue in x six please,lay blue a g seven please
lay red with l five soon,lay white with v five soon
bin blue with m five soon,bin blue with t five soon
set green at v five soon,set green i v five soon
set white with p four please,set white with p four please
bin green with b seven again,place blue with p seven please
set green in v zero now,set green with v four soon
lay white at z three again,lay white i u two please
bin red at f nine soon,bin white at f one soon
bin white with h two now,bin blue with u two again
set blue by a eight now,set blue by k eight now
lay white with s four now,lay white with t four again
set green with j six please,set green with a bin please
bin white at a one soon,bin white in n one soon
lay green in z three soon,lay green i q e soon
lay blue with y eight please,place blue at l one again
bin green at h one soon,bin green i d one soon
place green by y four now,bin blue by b four now
lay red in k four please,lay white i z four please
set blue at n five again,set blue a f five please
bin red at m two now,bin white a m four now
set red with b nine soon,set white with v nine soon
place white at j eight please,place red in n eight please
lay blue with r four please,lay blue with f four please
place blue in u nine soon,place blue at u in soon
set red by b seven again,set red by b two soon
set white in u six please,set white i u zero please
place green by y six please,place blue with b in please
bin green by b two please,place blue by p four please
place green at k four please,place blue i t four please
lay blue in d four please,lay blue i u four please
set blue by n nine again,set blue by r in please
set green with d one soon,set green with p four soon
