Truth,Decoded
bin green with h eight now,place blue i c six again
lay green with a one again,lay e with o one again
place green in d seven again,place e i c zero soon
set green at p three again,lay green i b e please
bin white with h three soon,set white i g two soon
set blue in t two now,set blue i g two now
bin blue by s six please,bin blue by h six please
set red with v zero now,set blue with t two again
place blue by c six please,place blue by c six please
set red in n four now,set red at f four now
bin white at t five again,bin white at z five please
lay white at r eight please,set white in j set please
lay white at r nine again,set white i j set again
lay green in z five again,place green with p five again
bin white in g three again,bin white i g green please
bin white by n two now,bin white by l zero now
bin green in n one soon,bin blue with m one soon
bin blue in l three soon,bin blue i o two soon
bin white in g one soon,bin white a u four soon
lay green by s eight please,lay blue by a eight please
lay green at l eight now,set green with n six now
bin green by h four now,bin e by m four soon
bin blue at z four now,bin blue i f four now
bin white in m five soon,bin white a s five soon
set red in u one again,set white i o one soon
set blue with u five soon,set blue with o four soon
bin red with a three soon,bin blue i u two soon
set green in c one again,set e at b four please
lay white by l six now,place white by o seven now
set white by o nine soon,set white by q nine soon
place white in p seven soon,a white with z two soon
set blue by h four please,set blue at u e please
set red by i zero please,set r by b e please
set red at n nine soon,set green in i e now
place white in x one soon,place white a s four soon
set white at i two please,set white i y nine please
place red in v four now,place white at p four now
lay blue at d eight please,lay blue with m set please
place green in d six please,place green i c seven please
bin green by n nine soon,bin blue i b six soon
place blue in i zero now,place blue with u four now
bin blue by f eight please,bin blue with p six please
lay white at z zero now,lay white i o two soon
set white in h nine again,set white i s eight again
lay green at z six now,lay e at c six soon
place red by j seven again,place red by b zero again
place red with q four please,place blue with b four please
lay blue at y zero please,lay blue i y e please
lay green by s nine again,lay blue by s eight soon
set green by j one soon,set green by p four soon
