Truth,Decoded
bin green with h eight now,bin blue i g eight now
lay green with a one again,lay e with o one again
place green in d seven again,place blue i d two soon
set green at p three again,lay green i b six please
bin white with h three soon,set white i g two soon
set blue in t two now,set blue a g two now
bin blue by s six please,bin blue by h six please
set red with v zero now,set blue with u two now
place blue by c six please,place blue by c six please
set red in n four now,set red i f four now
bin white at t five again,bin white at q nine please
lay white at r eight please,set white in r eight please
lay white at r nine again,set white i r eight again
lay green in z five again,lay green with b five again
bin white in g three again,bin white i g zero again
bin white by n two now,bin white by h two now
bin green in n one soon,bin blue with m one soon
bin blue in l three soon,bin blue a g t soon
bin white in g one soon,bin white a q one soon
lay green by s eight please,lay blue by a g please
lay green at l eight now,set blue with n eight now
bin green by h four now,bin bin by b four soon
bin blue at z four now,bin blue i f four now
bin white in m five soon,bin white a e five soon
set red in u one again,set white in g e soon
set blue with u five soon,set blue with u one soon
bin red with a three soon,bin blue with u two soon
set green in c one again,set e at d one loasn
lay white by l six now,lay white in q seven now
set white by o nine soon,set white by q in soon
place white in p seven soon,a white bin z four soon
set blue by h four please,set blue a g two please
set red by i zero please,set white by n e please
set red at n nine soon,set r i i two now
place white in x one soon,place white a a one soon
set white at i two please,bin white i r one please
place red in v four now,place white at u four now
lay blue at d eight please,lay blue i m eight soon
place green in d six please,place green i g set please
bin green by n nine soon,bin blue at b zero soon
place blue in i zero now,place blue i u four soon
bin blue by f eight please,bin blue with p six please
lay white at z zero now,lay white i g two please
set white in h nine again,set white i d eight again
lay green at z six now,lay e a g six again
place red by j seven again,place blue by b zero again
place red with q four please,place blue with q four please
lay blue at y zero please,lay blue at u two please
lay green by s nine again,lay blue by d eight soon
set green by j one soon,set blue by g four soon
