Truth,Decoded
bin blue with t zero please,bin blue with t soon please
set white in u four now,set white i u four now
lay green in l seven again,at green i z e set
set blue with h seven soon,set blue i u set soon
lay blue with e six please,lay blue with b set please
set white at u nine soon,set white a u i soon
set white at b eight please,set white at b eight please
lay blue by k four now,lay blue by k four now
lay blue by y two now,place blue by b r now
lay blue at q four now,set blue i u four soon
lay white by s three again,lay white by b three again
bin blue by f seven soon,bin blue by y four soon
set blue with b five again,set blue bin p i please
place white in j three soon,place white bin j e soon
lay blue in d two now,set blue i o zero again
lay green in r nine soon,lay green in n eight soon
lay red in q nine again,set white i u r again
bin blue by z nine soon,bin blue by b bin soon
set blue with h six now,set blue i u set again
place red at j two please,place e by u three soon
set blue at a six please,set blue a s six please
place white by y zero please,place white i b four please
bin white with n nine again,bin white with h eight soon
place blue in v zero please,place blue i u two please
bin green by b one soon,place blue i p four soon
lay white with s five soon,place blue i o e soon
set green with d two please,set green with h four please
place green by e two now,place green by q two now
bin blue with s nine soon,bin blue with c r soon
bin white at a three again,bin white i n set please
place green in d four now,place green i z four now
lay green with g five again,lay green with b bin again
lay blue at k two please,lay blue at n four please
set white by i seven again,set white by b seven please
set blue in n zero please,set blue i g two please
bin red in m one again,bin r i n one please
lay red with l six please,set white with u set please
bin green in g seven soon,place green in z zero soon
bin white with h five again,bin white with u nine please
lay green with m eight please,set green with b i please
bin blue in z two please,bin blue at q two please
place red with j nine soon,place white with u i soon
lay red in k three soon,set white at z two soon
lay white by s zero now,lay white by b two now
set blue by n eight please,set blue by b in please
bin green in a three soon,bin green i z zero soon
bin red at f eight now,bin white a k i now
lay blue by r one again,set blue by b one again
set red with c one again,set green i q four again
set blue at a seven again,set green by p zero please
