Truth,Decoded
lay red by y nine soon,lay e by y in soon
lay red with z two now,lay blue with u two soon
lay green in z four please,lay green i u four please
lay red by l zero now,lay white by b four soon
lay white in e five soon,lay white a d five soon
place blue at i seven again,place blue at y seven again
set green in i four please,set green in o four please
set green at v four now,lay green with b four now
lay blue by q eight now,lay blue by b two soon
place red with k zero please,place blue with o two please
lay red at r three again,set blue in r four soon
set red with v three again,lay white with u two please
set green by p six please,set green at b six please
place red by x four please,place blue by l four please
set blue by a nine soon,set blue by b eight soon
bin green by b three again,bin blue with m n please
lay red with z five again,lay white with o five again
bin white in g zero now,bin white in q four now
lay blue in j eight please,set blue i n eight please
set green by c six now,set green by b six soon
bin blue with s eight now,bin blue with t six again
bin green in g eight please,set green with n eight please
set blue in t four please,set blue i o four please
bin white at g four now,bin white a q four now
place red at x zero please,place blue in h e please
set red with o six now,lay r with o six now
place green in x seven soon,bin green in k set soon
set green with x five again,lay green with g bin please
bin red by g four please,bin white by q four please
lay red with f three again,set blue with u two please
set blue at g nine soon,set blue i g eight soon
bin blue at f two now,bin blue i m o now
lay green at f seven again,lay e in m seven please
set blue in a zero now,set blue a u two soon
lay red in y zero now,bin blue i b four soon
lay blue by k six please,set blue by p i please
place green by r three again,place green by b o please
place blue at p one again,place blue i y one again
lay green at m zero please,set green with m four please
set green in b nine soon,lay green with b in soon
place white in p eight please,place white with m set please
set white at i one soon,set white i o one soon
set red at h six please,set white a n seven please
lay blue with k nine soon,lay blue with k green soon
place green by r zero now,place blue by l two now
lay red with f zero now,place white with u four now
lay white in y eight please,lay white in y in please
set red at u three soon,lay e in q e soon
set white by i five soon,set white by y five soon
set red at n eight now,set r a n eight again
