Truth,Decoded
bin green with h eight now,bin blue i s set again
lay green with a one again,at green i b five again
place green in d seven again,bin e blue i s six again
set green at p three again,set e i u five again
bin white with h three soon,bin blue i s e again
set blue in t two now,at green i s six again
bin blue by s six please,bin blue i s e again
set red with v zero now,at e with b e again
place blue by c six please,a blue i s six again
set red in n four now,set blue i u i again
bin white at t five again,bin blue at s e again
lay white at r eight please,lay e i s i again
lay white at r nine again,lay e i r e again
lay green in z five again,lay e i r i again
bin white in g three again,lay green i p e again
bin white by n two now,bin blue i s set again
bin green in n one soon,bin blue i f e again
bin blue in l three soon,bin blue i s e again
bin white in g one soon,bin blue i s e again
lay green by s eight please,lay green i s six again
lay green at l eight now,at e i r six again
bin green by h four now,bin blue at b e again
bin blue at z four now,set blue at p i again
bin white in m five soon,bin blue at s e again
set red in u one again,set e i s bin again
set blue with u five soon,place blue bin b i again
bin red with a three soon,bin blue i f e again
set green in c one again,set e i u i again
lay white by l six now,place blue at r six again
set white by o nine soon,at e i b i again
place white in p seven soon,a e i s i again
set blue by h four please,bin green at s e again
set red by i zero please,at e i p i again
set red at n nine soon,p green at s e again
place white in x one soon,bin blue i s e again
set white at i two please,bin r i r set again
place red in v four now,bin bin i u e again
lay blue at d eight please,at green i s i again
place green in d six please,place e at s six again
bin green by n nine soon,bin blue with b e again
place blue in i zero now,bin blue i s six again
bin blue by f eight please,place r i s five again
lay white at z zero now,bin e i r i again
set white in h nine again,set e i r set again
lay green at z six now,lay e at s set again
place red by j seven again,set blue i b e again
place red with q four please,bin blue i f e again
lay blue at y zero please,lay blue i s set again
lay green by s nine again,lay blue i r six again
set green by j one soon,set e i s five again
