Truth,Decoded
set blue in g five soon,set green at p e soon
set green in o nine again,set green i q in again
lay white with f seven soon,lay white i p e now
place blue at v two now,lay blue at p e now
place blue at p zero please,place blue by p e please
place red in v six please,place white by b nine please
place white by x nine soon,place white by s e now
set white in h seven soon,set white i z e soon
lay blue with e five soon,place blue at u e soon
bin white with u two please,place white by v e please
place green by k eight please,place blue by b i again
set green with q one again,set blue with b e please
bin white with u three again,bin white with v e soon
set red by i one again,set r by y nine please
lay white in e four now,lay white by b e soon
place red by d zero now,place r by p six now
set white at o five soon,set white i c e now
place blue with d zero please,place blue at p set place
set red in n five soon,bin green i s set soon
place red at j zero now,place white by c six soon
bin green in t five soon,a blue with z e soon
place red by j four now,place white by b e soon
place white at d four please,blue bin by b set please
set green by j two please,set red by p e please
place red with q three soon,place white by p e soon
set red at o one again,set red by b e please
place red at c six now,place white at s six soon
lay blue in j seven soon,a blue with q e soon
set green by p seven again,set green by b six soon
lay red by l three again,lay red by d e please
place green with l two please,place r with p e place
bin green with o three soon,a blue at p e soon
place green in q two now,place red i q e now
place green with y eight now,bin blue i p five again
lay blue in q two please,set blue i q e soon
place blue at c two please,place blue i l set soon
set green at p zero now,set green with p e now
bin blue by s four now,bin blue by b e now
place green by y five soon,place r by b e soon
place green in x six now,place r i s six again
place blue by i nine soon,place blue by p e now
place blue in o seven again,b blue with p e now
bin white at n one again,bin white i m one please
bin green with h nine soon,place blue with s set soon
lay green with m six now,lay blue by b e soon
lay white in l zero please,lay white i c e soon
bin blue at s two please,bin blue by f e set
bin white by t six now,bin white by b bin now
place white with y two now,place white by b e now
place red by d two please,place r by b set please
