Truth,Decoded
bin green with h eight now,bin blue i e six again
lay green with a one again,lay e with o one again
place green in d seven again,place green i d zero soon
set green at p three again,lay green with b e please
bin white with h three soon,set white i r two soon
set blue in t two now,set blue i g e now
bin blue by s six please,bin blue by m nine please
set red with v zero now,set blue with v two again
place blue by c six please,place blue by s six please
set red in n four now,set red a f four now
bin white at t five again,bin white in d five please
lay white at r eight please,set white i f e please
lay white at r nine again,set white with n eight again
lay green in z five again,place green with b i again
bin white in g three again,bin white bin y e please
bin white by n two now,bin white by k two now
bin green in n one soon,bin blue with m one soon
bin blue in l three soon,bin blue i u four soon
bin white in g one soon,bin white a q four soon
lay green by s eight please,lay blue by a nine please
lay green at l eight now,lay green with n i now
bin green by h four now,bin red by m four soon
bin blue at z four now,bin blue i f four now
bin white in m five soon,bin white a m five soon
set red in u one again,set white i o four soon
set blue with u five soon,set blue with f four soon
bin red with a three soon,bin r i u four soon
set green in c one again,set green at b four please
lay white by l six now,place white i y seven now
set white by o nine soon,set white by b nine soon
place white in p seven soon,bin white bin z four soon
set blue by h four please,set blue i t e please
set red by i zero please,set red by b e soon
set red at n nine soon,set red i n e now
place white in x one soon,place white a m four soon
set white at i two please,bin when i n one please
place red in v four now,place white with m four now
lay blue at d eight please,lay blue with m e please
place green in d six please,place green i c set soon
bin green by n nine soon,bin blue with b i soon
place blue in i zero now,place blue with u four now
bin blue by f eight please,bin blue with p i please
lay white at z zero now,lay white i o two soon
set white in h nine again,set white i s nine again
lay green at z six now,lay e a c six soon
place red by j seven again,place red by b zero soon
place red with q four please,place blue with f four soon
lay blue at y zero please,lay blue i y e please
lay green by s nine again,lay blue by k six soon
set green by j one soon,set green by f four soon
