Truth,Decoded
bin green with h eight now,place blue i e six again
lay green with a one again,lay e with u one again
place green in d seven again,place green i d zero soon
set green at p three again,lay green i b e please
bin white with h three soon,set white i g two soon
set blue in t two now,set blue in g two now
bin blue by s six please,bin blue by h six please
set red with v zero now,set blue with t two again
place blue by c six please,place blue by c six please
set red in n four now,lay red a f four now
bin white at t five again,bin white at z five please
lay white at r eight please,set white in r eight please
lay white at r nine again,lay white i r eight again
lay green in z five again,lay green with p five again
bin white in g three again,bin white i g e again
bin white by n two now,bin white by h zero now
bin green in n one soon,bin blue with m one soon
bin blue in l three soon,bin blue i o two soon
bin white in g one soon,bin white a q one soon
lay green by s eight please,lay blue by a eight please
lay green at l eight now,lay green with n eight soon
bin green by h four now,bin blue by l four soon
bin blue at z four now,bin blue i o four now
bin white in m five soon,bin white at z five soon
set red in u one again,set white in o one soon
set blue with u five soon,set blue with u one soon
bin red with a three soon,bin blue i u two soon
set green in c one again,lay e at g one please
lay white by l six now,lay white i o seven now
set white by o nine soon,set white by o in soon
place white in p seven soon,place white at z two soon
set blue by h four please,set blue with o two please
set red by i zero please,set white by h zero please
set red at n nine soon,set r in n set one
place white in x one soon,place white a s one soon
set white at i two please,set white i r e please
place red in v four now,place white i u four now
lay blue at d eight please,lay blue with k eight please
place green in d six please,place green in t seven please
bin green by n nine soon,bin blue with b terht soon
place blue in i zero now,place blue i u four soon
bin blue by f eight please,lay blue with p six please
lay white at z zero now,lay white i o zero soon
set white in h nine again,set white i d eight again
lay green at z six now,lay e i g six again
place red by j seven again,place blue by b seven again
place red with q four please,place blue with o four please
lay blue at y zero please,lay blue a u e please
lay green by s nine again,lay blue by s eight please
set green by j one soon,lay blue by z four soon
