Truth,Decoded
bin green with h eight now,a e i i soon
lay green with a one again,a e i i now
place green in d seven again,a e i i soon
set green at p three again,a e i i soon
bin white with h three soon,a e i i soon
set blue in t two now,a e i i soon
bin blue by s six please,a e i i soon
set red with v zero now,a e i i soon
place blue by c six please,a e i i soon
set red in n four now,a e i i soon
bin white at t five again,a e i i soon
lay white at r eight please,a e i i soon
lay white at r nine again,a e i i soon
lay green in z five again,a e i i now
bin white in g three again,a e i i soon
bin white by n two now,a e i i soon
bin green in n one soon,a e i i soon
bin blue in l three soon,a e i i soon
bin white in g one soon,a e i i soon
lay green by s eight please,a e i i soon
lay green at l eight now,a e i i soon
bin green by h four now,a e i i soon
bin blue at z four now,a e i i soon
bin white in m five soon,a e i i soon
set red in u one again,a e i i soon
set blue with u five soon,a e i i soon
bin red with a three soon,a e i i soon
set green in c one again,a e i i soon
lay white by l six now,a e i i soon
set white by o nine soon,a e i i soon
place white in p seven soon,a e i i soon
set blue by h four please,b a a e now
set red by i zero please,a e i i now
set red at n nine soon,b a a e now
place white in x one soon,a e i i soon
set white at i two please,a e i i soon
place red in v four now,a e i i soon
lay blue at d eight please,a e i i soon
place green in d six please,a e i i soon
bin green by n nine soon,a e i i soon
place blue in i zero now,a e i i now
bin blue by f eight please,a e i i soon
lay white at z zero now,a e i i soon
set white in h nine again,a e i i soon
lay green at z six now,a e i i soon
place red by j seven again,a e i i soon
place red with q four please,a e i i soon
lay blue at y zero please,a e i i now
lay green by s nine again,a e i i soon
set green by j one soon,a e i i soon
