Truth,Decoded
bin blue with t zero please,bin blue by b set soon
set white in u four now,set e by q nine now
lay green in l seven again,lay green i s five now
set blue with h seven soon,place blue i s e now
lay blue with e six please,set blue i b set please
set white at u nine soon,set white i u nine now
set white at b eight please,place white by b i please
lay blue by k four now,lay blue i b nine now
lay blue by y two now,place white by p nine now
lay blue at q four now,set blue with u e soon
lay white by s three again,lay white by b five again
bin blue by f seven soon,bin blue by b bin soon
set blue with b five again,bin r by f five now
place white in j three soon,place white by l e soon
lay blue in d two now,set blue i b nine now
lay green in r nine soon,lay green i l nine now
lay red in q nine again,lay red with q five now
bin blue by z nine soon,bin blue i b in now
set blue with h six now,place red by b six now
place red at j two please,place white i f e soon
set blue at a six please,set blue in l five please
place white by y zero please,place white by b one now
bin white with n nine again,bin blue by b five now
place blue in v zero please,place blue at b e please
bin green by b one soon,place blue i b e soon
lay white with s five soon,place green i u e now
set green with d two please,set green i u e now
place green by e two now,place r i q five now
bin blue with s nine soon,bin blue with b six now
bin white at a three again,a blue by s five please
place green in d four now,place green i u nine now
lay green with g five again,lay blue with b five again
lay blue at k two please,place red by b set now
set white by i seven again,set white by p i again
set blue in n zero please,bin blue at b six now
bin red in m one again,place white i s five again
lay red with l six please,set blue with q six again
bin green in g seven soon,place e a s e soon
bin white with h five again,bin white i f five now
lay green with m eight please,set green with b e please
bin blue in z two please,bin blue with q e soon
place red with j nine soon,place white i b bin now
lay red in k three soon,lay white by l bin now
lay white by s zero now,lay white by b i now
set blue by n eight please,set blue i b i please
bin green in a three soon,place white i u e now
bin red at f eight now,bin white i l bin now
lay blue by r one again,set blue i b in again
set red with c one again,bin r i f e please
set blue at a seven again,set green i b six now
