Truth,Decoded
set blue in g five soon,set blue with u zero soon
set green in o nine again,set green i q set again
lay white with f seven soon,lay white i m e soon
place blue at v two now,place blue with p two again
place blue at p zero please,place blue with u seven please
place red in v six please,place white with p seven please
place white by x nine soon,place white by d eight soon
set white in h seven soon,set white i z set soon
lay blue with e five soon,set blue with u bin soon
bin white with u two please,bin white with u four please
place green by k eight please,place green by p eight please
set green with q one again,set green with q e please
bin white with u three again,bin white with f soon please
set red by i one again,set red by y one please
lay white in e four now,lay white with m four soon
place red by d zero now,place red by p two now
set white at o five soon,set white in u bin soon
place blue with d zero please,place blue with u e please
set red in n five soon,bin green with k seven soon
place red at j zero now,place white i g two now
bin green in t five soon,bin r with d e soon
place red by j four now,place red by p four please
place white at d four please,place white i s four please
set green by j two please,set green by g e please
place red with q three soon,place red with m four soon
set red at o one again,set green i m set please
place red at c six now,place red i d six soon
lay blue in j seven soon,lay blue with g green soon
set green by p seven again,lay green at p seven please
lay red by l three again,lay red by a e please
place green with l two please,place green with u e please
bin green with o three soon,place blue with p four soon
place green in q two now,place green i q two now
place green with y eight now,bin blue with t i again
lay blue in q two please,lay blue i u e please
place blue at c two please,place blue i g e soon
set green at p zero now,set green with p four now
bin blue by s four now,bin blue by p four again
place green by y five soon,place green by b five soon
place green in x six now,place blue with d six again
place blue by i nine soon,place blue i e i soon
place blue in o seven again,b blue at one now
bin white at n one again,bin white a z in soon
bin green with h nine soon,place blue with p six soon
lay green with m six now,lay blue with b seven please
lay white in l zero please,lay white at u e soon
bin blue at s two please,bin blue i z e please
bin white by t six now,bin white by p six now
place white with y two now,place blue by p two now
place red by d two please,place white by y e please
