Truth,Decoded
lay red by y nine soon,lay e by y eight soon
lay red with z two now,lay white with u two soon
lay green in z four please,lay green at q four please
lay red by l zero now,lay white by t two soon
lay white in e five soon,lay white at d five soon
place blue at i seven again,place blue at i zero again
set green in i four please,lay green in o four please
set green at v four now,lay green with b four now
lay blue by q eight now,lay blue by b eight soon
place red with k zero please,place white with g zero please
lay red at r three again,set blue a r four soon
set red with v three again,lay white with u two please
set green by p six please,lay green by b seven please
place red by x four please,place blue by t four please
set blue by a nine soon,set blue by n eight soon
bin green by b three again,bin blue with m bin please
lay red with z five again,lay white with o five again
bin white in g zero now,bin white in q t now
lay blue in j eight please,set blue i n eight please
set green by c six now,set green by b six again
bin blue with s eight now,bin blue with g six now
bin green in g eight please,set green i g eight please
set blue in t four please,set blue in o four please
bin white at g four now,bin white a q four now
place red at x zero please,place blue in h three please
set red with o six now,lay h with o six now
place green in x seven soon,place green in k zero soon
set green with x five again,lay green with g five please
bin red by g four please,bin white by q four please
lay red with f three again,set blue with u two please
set blue at g nine soon,set blue i g negh soon
bin blue at f two now,bin blue with m two now
lay green at f seven again,lay green a m seven please
set blue in a zero now,set blue a q two soon
lay red in y zero now,a blue by b u soon
lay blue by k six please,set blue by p bin please
place green by r three again,place green by o two please
place blue at p one again,place blue i y one again
lay green at m zero please,lay green with m two please
set green in b nine soon,lay green with b eight soon
place white in p eight please,place white with p eight soon
set white at i one soon,set white i o one soon
set red at h six please,set white a n set please
lay blue with k nine soon,lay blue with a two soon
place green by r zero now,place blue by o two now
lay red with f zero now,lay white with u two now
lay white in y eight please,lay white a y eight please
set red at u three soon,lay e i q green soon
set white by i five soon,set white by r five soon
set red at n eight now,at red a n eight again
