Truth,Decoded
set blue in g five soon,set green at u two soon
set green in o nine again,lay green i g i again
lay white with f seven soon,lay white i u r soon
place blue at v two now,place blue i u two again
place blue at p zero please,place blue by u e please
place red in v six please,place white by m nine please
place white by x nine soon,place white by a i soon
set white in h seven soon,set white at l two soon
lay blue with e five soon,place blue i u e soon
bin white with u two please,place white with u four please
place green by k eight please,place e by p e please
set green with q one again,lay blue with b e please
bin white with u three again,bin white with u e soon
set red by i one again,set red by y e again
lay white in e four now,lay white bin p r soon
place red by d zero now,place r by p six now
set white at o five soon,set white a l two soon
place blue with d zero please,place blue i u soon soon
set red in n five soon,set green with d six soon
place red at j zero now,place white i j set soon
bin green in t five soon,bin blue with t f soon
place red by j four now,place red by b e soon
place white at d four please,place white i p e soon
set green by j two please,set green by l two please
place red with q three soon,place r by p e soon
set red at o one again,set red by m i please
place red at c six now,place white i j six soon
lay blue in j seven soon,lay blue i u r soon
set green by p seven again,lay green by b six soon
lay red by l three again,lay green by l e please
place green with l two please,place e with p e soon
bin green with o three soon,a blue i p e soon
place green in q two now,place green i u e now
place green with y eight now,bin blue with p e again
lay blue in q two please,lay blue i u e soon
place blue at c two please,place blue at l six soon
set green at p zero now,set green with m e now
bin blue by s four now,bin blue by b e again
place green by y five soon,place blue by b five soon
place green in x six now,place e i s six again
place blue by i nine soon,place blue i u i soon
place blue in o seven again,b blue i f e now
bin white at n one again,bin white a h in please
bin green with h nine soon,place blue with z i soon
lay green with m six now,lay blue with b e soon
lay white in l zero please,lay white a u e soon
bin blue at s two please,bin blue i u e please
bin white by t six now,bin white by s six now
place white with y two now,place red by b r now
place red by d two please,place white by b six soon
