Truth,Decoded
bin blue with t zero please,bin blue at u set please
set white in u four now,set white i u e now
lay green in l seven again,lay green i c e please
set blue with h seven soon,set blue i l i please
lay blue with e six please,set blue with p set please
set white at u nine soon,set white a u e soon
set white at b eight please,set white by b in please
lay blue by k four now,lay blue by p four now
lay blue by y two now,place blue by p e now
lay blue at q four now,set blue i u four please
lay white by s three again,at white by b one please
bin blue by f seven soon,bin blue by y e soon
set blue with b five again,lay blue by y in please
place white in j three soon,place white by e e soon
lay blue in d two now,set blue i u two again
lay green in r nine soon,lay green i k i soon
lay red in q nine again,set white i u e please
bin blue by z nine soon,bin blue by b i soon
set blue with h six now,set blue at p set please
place red at j two please,place blue by u one blue
set blue at a six please,set blue at m in please
place white by y zero please,place white i b one blue
bin white with n nine again,bin blue by p nine please
place blue in v zero please,place blue at u two please
bin green by b one soon,a blue at b u please
lay white with s five soon,place blue i u one soon
set green with d two please,set green i i four please
place green by e two now,place green by u e again
bin blue with s nine soon,bin blue with p e soon
bin white at a three again,bin white i t in please
place green in d four now,place green i q e now
lay green with g five again,lay blue with p e please
lay blue at k two please,set blue i p e soon
set white by i seven again,set white by b e please
set blue in n zero please,bin blue at u nine please
bin red in m one again,bin red at m e please
lay red with l six please,set white with u set please
bin green in g seven soon,place e i s bin soon
bin white with h five again,bin white with u five please
lay green with m eight please,set green with p in please
bin blue in z two please,bin blue i u one please
place red with j nine soon,place white with u i soon
lay red in k three soon,set white i c bin soon
lay white by s zero now,set white by b r soon
set blue by n eight please,set blue by b in please
bin green in a three soon,bin blue i z e soon
bin red at f eight now,bin blue i e nine now
lay blue by r one again,set blue by b one please
set red with c one again,bin red at u four please
set blue at a seven again,set blue at p i please
