Truth,Decoded
lay red at e two now,lay white i u e soon
set red with i two now,set green with o e soon
bin blue at l eight please,lay blue by p in please
lay green in s zero please,bin green i p r soon
place white in p nine again,place white at p six please
lay red at k eight please,lay red i l in again
lay red by z one again,place red by p i please
set green in o eight please,lay red i m e please
set green with p eight now,set blue with b six now
lay blue with k eight now,place blue at p six again
bin red in z six now,bin white i t six now
bin red in s five again,bin white i l one please
bin white by g eight now,lay blue by b in now
set green with j four now,bin green with q e soon
place white with r zero please,place white by p e please
lay blue by y three soon,set blue i y e now
place green by e three soon,place bin i b e please
lay blue in x six please,lay blue in l i please
lay red with l five soon,lay white with u e soon
bin blue with m five soon,bin blue with o e now
set green at v five soon,set green with o e now
set white with p four please,set white with p e please
bin green with b seven again,place blue with p i please
set green in v zero now,set green with u e soon
lay white at z three again,lay white i u bin please
bin red at f nine soon,bin blue i l five now
bin white with h two now,bin white with q e now
set blue by a eight now,bin blue by x six again
lay white with s four now,lay red by u bin again
set green with j six please,set green with p six please
bin white at a one soon,lay blue by r e now
lay green in z three soon,lay green i q e soon
lay blue with y eight please,bin blue by b in again
bin green at h one soon,bin blue i l e soon
place green by y four now,lay blue at p one now
lay red in k four please,lay bin i u e please
set blue at n five again,set blue i y five please
bin red at m two now,bin white i u e now
set red with b nine soon,set white with u e soon
place white at j eight please,place white i l i please
lay blue with r four please,lay blue at p e please
place blue in u nine soon,place blue i o e soon
set red by b seven again,bin green by p e please
set white in u six please,set r by u e please
place green by y six please,place bin at p i please
bin green by b two please,place blue by p e please
place green at k four please,place e i u e please
lay blue in d four please,lay blue at u e set
set blue by n nine again,set blue bin a six please
set green with d one soon,set blue with p e soon
