Truth,Decoded
lay red at e two now,a e i m i again
set red with i two now,a e i m i again
bin blue at l eight please,a e i m i again
lay green in s zero please,a e i m i again
place white in p nine again,a e i m i again
lay red at k eight please,a e i m i again
lay red by z one again,a e i m i again
set green in o eight please,a e i m i again
set green with p eight now,a e i m i again
lay blue with k eight now,a e i m i again
bin red in z six now,a e i m i again
bin red in s five again,a e i m i again
bin white by g eight now,a e i m i again
set green with j four now,a e i m i again
place white with r zero please,a e i m i again
lay blue by y three soon,a e i m i again
place green by e three soon,a e i m i again
lay blue in x six please,a e i m i again
lay red with l five soon,a e i m i again
bin blue with m five soon,a e i m i again
set green at v five soon,a e i m i again
set white with p four please,a e i m i again
bin green with b seven again,a e i m i again
set green in v zero now,a e i m i again
lay white at z three again,a e i m i again
bin red at f nine soon,a e i m i again
bin white with h two now,a e i m i again
set blue by a eight now,a e i m i again
lay white with s four now,a e i m i again
set green with j six please,a e i m i again
bin white at a one soon,a e i m i again
lay green in z three soon,a e i m i again
lay blue with y eight please,a e i m i again
bin green at h one soon,a e i m i again
place green by y four now,a e i m i again
lay red in k four please,a e i m i again
set blue at n five again,a e i m i again
bin red at m two now,a e i m i again
set red with b nine soon,a e i m i again
place white at j eight please,a e i m i again
lay blue with r four please,a e i m i again
place blue in u nine soon,a e i m i again
set red by b seven again,a e i m i again
set white in u six please,a e i m i again
place green by y six please,a e i m i again
bin green by b two please,a e i m i again
place green at k four please,a e i m i again
lay blue in d four please,a e i m i again
set blue by n nine again,a e i m i again
set green with d one soon,a e i m i again
