Truth,Decoded
lay red by y nine soon,place e by y e soon
lay red with z two now,a white with u two soon
lay green in z four please,lay green i u four please
lay red by l zero now,set white by b two soon
lay white in e five soon,lay white at c e soon
place blue at i seven again,place blue i r six again
set green in i four please,set green i o four soon
set green at v four now,lay green with b four now
lay blue by q eight now,set blue by b e soon
place red with k zero please,place white with u e soon
lay red at r three again,set white i r four soon
set red with v three again,lay white with u e please
set green by p six please,set green i b i please
place red by x four please,place white by b e please
set blue by a nine soon,set blue by b set soon
bin green by b three again,a blue i m e please
lay red with z five again,lay white with u e please
bin white in g zero now,bin white i g t now
lay blue in j eight please,set blue i u i please
set green by c six now,bin green a b six soon
bin blue with s eight now,bin blue with p six again
bin green in g eight please,place blue with t e please
set blue in t four please,set blue i u one soon
bin white at g four now,bin white at u e now
place red at x zero please,place blue i a e soon
set red with o six now,lay white with u set now
place green in x seven soon,place blue i l i soon
set green with x five again,place green with u e please
bin red by g four please,bin blue by y four please
lay red with f three again,set blue with u set please
set blue at g nine soon,set blue i u six soon
bin blue at f two now,set blue at p o now
lay green at f seven again,lay e at m set please
set blue in a zero now,set blue i u r soon
lay red in y zero now,bin blue with m e please
lay blue by k six please,set blue by p i please
place green by r three again,place blue with b nine please
place blue at p one again,place blue i y e again
lay green at m zero please,set green with u one blue
set green in b nine soon,lay green with m in soon
place white in p eight please,place white by m i please
set white at i one soon,set white i u u soon
set red at h six please,set white a k nine please
lay blue with k nine soon,lay blue with u i soon
place green by r zero now,place blue at b e now
lay red with f zero now,place blue with u t again
lay white in y eight please,lay white i y in please
set red at u three soon,lay white at u e soon
set white by i five soon,set white by b five soon
set red at n eight now,set white a e e again
