Truth,Decoded
lay red by y nine soon,lay e by y nine soon
lay red with z two now,lay white with u two now
lay green in z four please,lay green i u four please
lay red by l zero now,set white by b z soon
lay white in e five soon,lay white in d five soon
place blue at i seven again,place blue at i seven again
set green in i four please,set green in n four please
set green at v four now,lay green i b four now
lay blue by q eight now,lay blue by b with soon
place red with k zero please,place blue with g two please
lay red at r three again,set red in r four soon
set red with v three again,lay white with u two please
set green by p six please,set green by b seven please
place red by x four please,place blue by n four please
set blue by a nine soon,set blue by b eight soon
bin green by b three again,bin blue with m one please
lay red with z five again,lay white with u five again
bin white in g zero now,bin white in g four now
lay blue in j eight please,set blue i n eight please
set green by c six now,set green by b six again
bin blue with s eight now,bin blue with g six again
bin green in g eight please,set green i t eight please
set blue in t four please,set blue in o four please
bin white at g four now,bin white at q four now
place red at x zero please,place blue in h e please
set red with o six now,set white with o six now
place green in x seven soon,bin green i k seven soon
set green with x five again,lay green with g five please
bin red by g four please,bin white by q four please
lay red with f three again,set blue with u two please
set blue at g nine soon,set blue i g eight soon
bin blue at f two now,bin blue i m o now
lay green at f seven again,lay green in m seven please
set blue in a zero now,set blue a u t now
lay red in y zero now,a blue by b four soon
lay blue by k six please,set blue by p bin please
place green by r three again,place green by f s please
place blue at p one again,place blue i y one again
lay green at m zero please,lay green with m r please
set green in b nine soon,lay green with b in soon
place white in p eight please,place white with p eight please
set white at i one soon,set white i o one soon
set red at h six please,set white a n set please
lay blue with k nine soon,lay blue with n with soon
place green by r zero now,place blue by o two now
lay red with f zero now,lay white with u four now
lay white in y eight please,lay white a y in please
set red at u three soon,set e i q e soon
set white by i five soon,set white by y five soon
set red at n eight now,set red a n eight again
