Truth,Decoded
lay red by y nine soon,lay bin by b e now
lay red with z two now,place white by p e soon
lay green in z four please,lay green i u e please
lay red by l zero now,set white by b five soon
lay white in e five soon,lay white i q e now
place blue at i seven again,place blue by a six please
set green in i four please,set green i f one leoe
set green at v four now,set bin with u e soon
lay blue by q eight now,set blue by b i one
place red with k zero please,place green by b set soon
lay red at r three again,set blue i m e soon
set red with v three again,set white with u bin please
set green by p six please,set green i b e please
place red by x four please,place white by b i please
set blue by a nine soon,set blue by b in now
bin green by b three again,bin blue at b e please
lay red with z five again,lay white with v nine again
bin white in g zero now,bin white i s nine now
lay blue in j eight please,set blue with p in please
set green by c six now,bin green i b six again
bin blue with s eight now,bin blue at b six again
bin green in g eight please,bin blue i s i please
set blue in t four please,bin blue with o e soon
bin white at g four now,bin white i q nine now
place red at x zero please,place bin at l e please
set red with o six now,lay white with o set now
place green in x seven soon,bin blue i s set soon
set green with x five again,lay red with u e please
bin red by g four please,bin white by y e please
lay red with f three again,bin e with p e please
set blue at g nine soon,set blue at p set soon
bin blue at f two now,set blue by p e soon
lay green at f seven again,lay bin i u bin please
set blue in a zero now,set blue i q e soon
lay red in y zero now,bin blue with b e please
lay blue by k six please,bin red by p i please
place green by r three again,a blue by b i please
place blue at p one again,place blue by b i again
lay green at m zero please,set green i b one please
set green in b nine soon,lay green i m i now
place white in p eight please,bin bin by b i please
set white at i one soon,bin white i f e now
set red at h six please,set white i a six please
lay blue with k nine soon,set blue with p set soon
place green by r zero now,place blue by b e now
lay red with f zero now,place blue with q bin one
lay white in y eight please,lay white by b i please
set red at u three soon,set white i q e soon
set white by i five soon,set white by b five soon
set red at n eight now,set white a n in again
