Truth,Decoded
lay red at e two now,lay blue in t zero soon
set red with i two now,set green with o two soon
bin blue at l eight please,bin blue i a eight please
lay green in s zero please,lay green i n two please
place white in p nine again,place white i p eight again
lay red at k eight please,lay h at n eight please
lay red by z one again,lay white by b one please
set green in o eight please,lay green in g six please
set green with p eight now,lay green with b eight again
lay blue with k eight now,set blue with n eight again
bin red in z six now,bin white in g zero again
bin red in s five again,bin red a z five please
bin white by g eight now,bin white by g eight soon
set green with j four now,bin e with u four soon
place white with r zero please,place white with n four please
lay blue by y three soon,set blue by y one soon
place green by e three soon,place blue with b one soon
lay blue in x six please,lay blue in g six please
lay red with l five soon,lay white with v five soon
bin blue with m five soon,bin blue with t one soon
set green at v five soon,set green i v five soon
set white with p four please,set white with p four please
bin green with b seven again,place green with p seven please
set green in v zero now,set green with q four soon
lay white at z three again,lay white i u two please
bin red at f nine soon,bin white a f one soon
bin white with h two now,bin blue with u two again
set blue by a eight now,set blue by n eight one
lay white with s four now,set white with t four again
set green with j six please,set green with g seven please
bin white at a one soon,bin white in n one soon
lay green in z three soon,lay green i q e soon
lay blue with y eight please,place blue at l in again
bin green at h one soon,bin green i d one soon
place green by y four now,bin blue by b four now
lay red in k four please,set white i z four please
set blue at n five again,set blue a f five please
bin red at m two now,bin white a m four now
set red with b nine soon,set white with t eight soon
place white at j eight please,place red bin n eight please
lay blue with r four please,set blue with o four please
place blue in u nine soon,place blue a q eight soon
set red by b seven again,set red by b two loasn
set white in u six please,set white in o set please
place green by y six please,place blue at y red please
bin green by b two please,place green by p e please
place green at k four please,place green i t four please
lay blue in d four please,lay blue i o four please
set blue by n nine again,set blue by r eight please
set green with d one soon,set green with b one soon
