Truth,Decoded
lay red at e two now,lay blue a d zero now
set red with i two now,set green with o two now
bin blue at l eight please,bin blue i a eight please
lay green in s zero please,lay green with n two please
place white in p nine again,place white i p eight again
lay red at k eight please,lay blue at n eight please
lay red by z one again,lay white by b one please
set green in o eight please,lay e in g with please
set green with p eight now,lay green with b eight now
lay blue with k eight now,set blue with e eight again
bin red in z six now,bin white in q zero now
bin red in s five again,bin red in q five please
bin white by g eight now,bin white by b eight soon
set green with j four now,bin blue with u four soon
place white with r zero please,place white with u two please
lay blue by y three soon,lay blue by y one soon
place green by e three soon,place blue with p one soon
lay blue in x six please,lay blue a g seven please
lay red with l five soon,lay white with u five soon
bin blue with m five soon,bin blue with q five soon
set green at v five soon,set green i v five soon
set white with p four please,set white with p one please
bin green with b seven again,place green with p seven please
set green in v zero now,set green with q four soon
lay white at z three again,lay white i q two please
bin red at f nine soon,bin white at f five soon
bin white with h two now,bin blue with u two again
set blue by a eight now,set blue by k eight again
lay white with s four now,lay white with t four again
set green with j six please,set green with g bin please
bin white at a one soon,bin white i n one soon
lay green in z three soon,lay green i q two soon
lay blue with y eight please,place blue at l in again
bin green at h one soon,bin green i d one soon
place green by y four now,place blue by b four now
lay red in k four please,lay white i d four please
set blue at n five again,set blue a f five please
bin red at m two now,bin white in m four now
set red with b nine soon,set white with v eight soon
place white at j eight please,place red bin n eight please
lay blue with r four please,at blue with o four please
place blue in u nine soon,place blue at q in soon
set red by b seven again,set blue i b two soon
set white in u six please,set white i q green please
place green by y six please,place blue i b red please
bin green by b two please,place blue by p e please
place green at k four please,place blue i e four please
lay blue in d four please,lay blue i u four please
set blue by n nine again,set blue by r eight please
set green with d one soon,set green with b four soon
