Truth,Decoded
place blue at i six please,place blue at r zero please
place blue with d one again,place blue i u four please
set red in a six now,set white a d six soon
lay blue at x nine soon,lay blue at n six soon
place blue at o nine soon,place blue at o teie soon
set white with v nine again,set white with v eight again
lay white at e eight now,lay white i d i now
bin red by t zero now,place r by z zero soon
lay red by r five soon,set white by e nine soon
set green at v six please,lay green with c six please
bin white with n seven soon,bin white with v zero soon
place blue in o six please,place blue i u zero soon
bin white with h four please,bin white with v four psoe
place blue by p two now,place blue by p t now
lay white in r two now,lay white a u zero now
place red with x nine again,place white with t set please
place red in c three soon,place blue by n zero soon
lay blue with e four now,lay blue i u four again
place green with l three again,place blue with u two please
bin red by m eight please,place blue by p in please
set blue with b four please,set blue t b four please
bin blue in e nine soon,bin blue at z zero soon
bin blue at f five again,bin blue i f one please
lay white by z six please,lay white by c six please
lay white in r three soon,lay white a u zero soon
lay red with f one soon,set white with v four soon
place green at y three again,place blue with m one please
place blue by i eight now,place blue with p six now
lay white in r four please,bin white in r four please
set blue by n seven soon,set blue by u zero soon
lay white in y nine again,lay white by y eight please
set green in v one soon,lay green at m four soon
bin white by a six please,bin white by s six please
place white at d two now,place white a g two now
place green in d five soon,place r with v two soon
set blue at n two now,set blue a q zero again
place white in p six now,place r by z six now
place green at k three soon,place blue at z zero soon
place green at y one soon,set green i y one soon
place green in j eight now,place green at j eight now
lay blue with r five again,lay blue at r nine please
lay white with m zero now,set white at m four again
lay green at s five again,set blue i e five please
lay red with l seven again,lay white with u zero one
bin red with a two now,bin white with o t again
set blue by u one soon,set blue a u one soon
lay red at r zero now,lay blue with s one now
lay red in e zero please,lay white i t zero please
place blue with j two now,place blue with u two again
set white with v seven soon,lay e with t two soon
