Truth,Decoded
bin green with h eight now,bin r i r i again
lay green with a one again,set e i r i again
place green in d seven again,a green i r i again
set green at p three again,set e i r i again
bin white with h three soon,lay bin by r i again
set blue in t two now,set r i r i again
bin blue by s six please,bin bin at t i again
set red with v zero now,set e i r i again
place blue by c six please,a r i r i again
set red in n four now,lay bin i i i again
bin white at t five again,bin bin i r i again
lay white at r eight please,at r by y i again
lay white at r nine again,set e at c i again
lay green in z five again,set e i c i again
bin white in g three again,set r at c i again
bin white by n two now,bin bin at r i again
bin green in n one soon,lay bin i r i again
bin blue in l three soon,a bin i r i again
bin white in g one soon,bin blue i r i again
lay green by s eight please,set r at r i again
lay green at l eight now,set e i r i again
bin green by h four now,lay bin at y i again
bin blue at z four now,lay bin i t i again
bin white in m five soon,bin bin i j i again
set red in u one again,set r i r i again
set blue with u five soon,lay r i t i again
bin red with a three soon,bin bin i r i again
set green in c one again,set r i t i again
lay white by l six now,lay bin i t i again
set white by o nine soon,set r by y i again
place white in p seven soon,bin r i r i again
set blue by h four please,blue r at r now again
set red by i zero please,set e by y i again
set red at n nine soon,blue r at r e again
place white in x one soon,bin bin i r i again
set white at i two please,set e at r i again
place red in v four now,bin r i r i again
lay blue at d eight please,set r i r i again
place green in d six please,a r at r i again
bin green by n nine soon,set r i b i again
place blue in i zero now,a r i r i again
bin blue by f eight please,bin bin i r i again
lay white at z zero now,at r by y i again
set white in h nine again,set r at r i again
lay green at z six now,lay r i r i again
place red by j seven again,set r i b i again
place red with q four please,lay r i r i again
lay blue at y zero please,set e i r i again
lay green by s nine again,lay r i r i again
set green by j one soon,set r at c i again
