Truth,Decoded
bin blue at z five soon,bin blue with q four soon
place white at j nine again,place white a j eight soon
lay white by f three soon,lay white with p one soon
set blue by n six now,set blue by p six again
place white with r one again,place white with v one please
set red by o three soon,set white by q four soon
set white in u seven again,set white a q two please
set blue with h eight please,set blue i v six please
place red at x one again,place green with n one again
place white at j six now,place white a c six soon
place green at q six now,place green with q zero again
lay blue at y one again,lay blue by y one again
lay blue by y five again,set blue by y five please
place blue at i four now,place blue at f four again
set red in n six please,lay white a e six please
bin red by t three again,bin white by p two please
bin blue in l four please,bin blue at o four soon
bin red at s six now,bin red a d six now
place blue with p seven soon,place blue with p zero soon
lay white at r seven soon,set white a r four soon
bin red at m five again,bin white in m five soon
set red in u zero please,set r a q t please
set white in o two please,set white a q o soon
place green at k two now,place green i d t soon
place white by k two please,place white by p two please
set white at o six please,a whuen i p zero soon
place blue by c five soon,set green by p zero soon
bin blue at l nine again,bin blue in o eight again
set white with c four now,set white with v four now
set white with i nine soon,set white with r in soon
place green by k six now,place green by p six again
bin blue with g two please,bin blue with q two soon
bin green in n two please,bin blue with g zero please
bin blue in r six now,bin blue i r six now
bin green by u three soon,place green by p four soon
set white with j zero please,set white with q two please
set red with o nine again,lay white with o teie again
bin red in m zero please,bin white with y s please
place green with l zero now,place green with p t now
lay white by l seven soon,set white by u e soon
set green with q zero please,place green with u t please
set red by o two now,place r by o two now
lay red by l two please,lay white by q four soon
bin white at t four please,bin white a g four please
set red at h five soon,set white with f five soon
place green with r six please,place blue with y seven please
set white at v one again,set white at q four please
set blue with b two now,set blue with b t now
bin blue by f nine again,bin blue by p nine please
set red by h nine soon,bin blue in q i soon
