Truth,Decoded
bin red with g seven soon,place blue at v six soon
set white by c one soon,set white by y one soon
lay blue at d six now,lay blue i g six soon
lay blue at q five soon,set blue by p four soon
place green by y seven again,place green by y i soon
lay red by r seven again,set white by y nine soon
set blue with u seven again,set blue with q set again
lay red at r one soon,set e i v two soon
set red in h three again,set h at v six please
lay blue by k seven again,lay blue by y six please
bin green at n five soon,place e i f e soon
place blue with p eight please,place blue with p six please
place blue by c four now,place blue i u t now
lay green at z seven soon,set green i c zero soon
set red at h four now,set white at z four now
bin blue in f one again,bin blue i y set please
set red in h one soon,bin white by s four soon
set red with v one soon,set white with o two soon
place red in i nine again,e blue a s i please
bin blue at z six please,bin blue i s six please
bin blue in z zero now,i blue i s one soon
set red in n seven again,set white at z six again
bin white with a nine soon,bin white with v i soon
bin red at m three soon,bin white in u f soon
set white in o one soon,set white at u one soon
lay red by r six please,lay white by y set again
set blue by u three again,set blue by y two please
set red at b three again,set white at p six please
lay green with g three soon,lay green with u two soon
set white with c six please,set white with c six please
place green with r four now,set blue bin b four again
bin red in f seven again,bin blue by y six soon
bin green at t nine soon,place r i s six soon
bin red at g zero please,bin white at e six soon
place red in p one soon,place white at p one soon
set blue with o one soon,set blue at u four soon
lay white by l nine again,a blue i l i soon
set green at p one soon,set green t p one soon
place blue by j one again,place blue by s i please
lay green in z two now,lay green i q e soon
set green with d three again,set green with v set again
set blue by b one again,set blue at u one please
place white by d eight please,place white by p six please
place green in q three soon,place blue i e two soon
lay white at r six now,lay red in i six soon
place white by y one again,place white by y i please
bin green in a five again,place blue with z five soon
bin green at a six now,bin blue i e six soon
place red at v eight now,place white with v six again
bin white with b zero please,a white by p seven soon
