Truth,Decoded
set green in v three again,lay white with v set please
place red by x two now,place r by p four now
lay green with t one soon,lay white with v four soon
place red at v nine soon,place r with v one soon
place red at p seven again,place white by p six please
set red by u eight please,set r by f bin please
lay white by z four now,set white by p four again
set white at b seven soon,set white t z t soon
set white by i four now,set white at y one now
bin red by g three soon,bin red by q four soon
lay blue by e zero now,lay blue by y z now
lay green by m three soon,lay green by p four soon
set red in a nine again,set green with y six soon
bin blue with m six please,place blue at u four please
place blue with p nine again,bin blue with p set again
bin white by t nine again,bin white by d in again
set white at u eight now,set white at t six soon
set green at c two now,set r with v t now
set blue at t six now,set blue i c six again
place blue with x two please,place blue at f four please
place green at q nine again,set green with q teie again
lay red with z four please,lay white with v four please
lay red at y six please,lay white i y i please
set white at i three again,set white a q set please
place blue in b eight please,place blue with m bin please
place red with d five soon,place white with f four soon
lay red in q seven soon,lay white at q four soon
lay green at f four now,lay white with f four soon
place white by d nine again,place white by y set again
lay green by m five again,set green t p in please
set white by c zero now,bin white by y two please
place green at d eight now,place blue with s set soon
bin red in f five soon,bin white at f four soon
place white in x three again,place white at f two please
lay white by z five soon,lay white by p set soon
bin blue at s three again,lay blue at u e again
set green at c three soon,set white t v four soon
set red with o seven soon,set white with u four soon
bin green at t eight now,place blue i s six again
bin green at a seven soon,place e with r zero soon
lay red by e nine again,set seven by s i again
place green at e zero please,place h at p set please
bin green with u seven soon,place green with u four soon
bin green at n seven again,bin e i d set soon
bin green in t six please,bin e green i c six please
bin white by a seven again,bin white by d set soon
lay white by s one soon,lay white i y four soon
bin green with o two now,place e with f t again
place red in i eight please,place white at t eight please
place green at y two please,place green by y t please
