Truth,Decoded
set green in v three again,lay green with p zero please
place red by x two now,place e by p t now
lay green with t one soon,at white with f four soon
place red at v nine soon,place r with x teie soon
place red at p seven again,place white by p six please
set red by u eight please,a r by o eight soon
lay white by z four now,set white at p four again
set white at b seven soon,lay white with z two soon
set white by i four now,set white at y four now
bin red by g three soon,bin red by q four soon
lay blue by e zero now,lay blue by z four now
lay green by m three soon,lay green by p four soon
set red in a nine again,set green with y six soon
bin blue with m six please,place blue with u one please
place blue with p nine again,bin blue with p eight again
bin white by t nine again,bin white by d eight soon
set white at u eight now,set white at r six soon
set green at c two now,set green with g two now
set blue at t six now,set blue in j six now
place blue with x two please,place blue i u t please
place green at q nine again,set green with q teige again
lay red with z four please,lay white with p four please
lay red at y six please,lay white i y eight please
set white at i three again,set white at o six please
place blue in b eight please,place blue with p eight please
place red with d five soon,place white with p one soon
lay red in q seven soon,lay white in q t soon
lay green at f four now,at green with z four soon
place white by d nine again,place white by d eight please
lay green by m five again,set green with p nine please
set white by c zero now,bin white by y two please
place green at d eight now,a blue with s six now
bin red in f five soon,bin red at d four soon
place white in x three again,place white i g two please
lay white by z five soon,lay white by p zero soon
bin blue at s three again,bin blue i u zero again
set green at c three soon,set green i v two soon
set red with o seven soon,lay white with o four soon
bin green at t eight now,bin green at d six again
bin green at a seven soon,bin green with r set soon
lay red by e nine again,set seven by s six please
place green at e zero please,place r with c zero please
bin green with u seven soon,place green with u four soon
bin green at n seven again,bin green i t zero soon
bin green in t six please,bin green i c six please
bin white by a seven again,bin white by d e soon
lay white by s one soon,lay white i p four soon
bin green with o two now,place green with o two again
place red in i eight please,place white in t eight please
place green at y two please,place green bin y two please
