Truth,Decoded
set red by u nine again,bin white i s i now
lay red by z zero please,lay r by z nine please
bin red with a four please,lay blue i s i again
bin blue by s five soon,bin blue with b e now
place green with r seven again,bin blue with p five again
place white by q seven again,place white by y i again
bin red by a one again,bin r by p in please
set red by u seven soon,set green i b one now
bin green by o one again,a blue with b five please
place red at c nine again,bin blue by p six again
lay green in f three again,lay green i q six please
place white in d one again,place r at s in again
place white at x five soon,place white at f one now
lay white at f zero please,set white a f one now
bin blue in e eight now,bin blue i s i now
bin white in g two please,bin white i z one please
set white by v four please,set red by f five now
bin green in a four please,bin blue i s one please
lay red with l four now,bin white i f nine please
place white by k three again,place white by p i please
lay red in y three again,lay white i f in please
set blue at a four now,set blue at f one now
bin red with g eight please,lay blue i s six again
place white in j four please,place h by f five please
bin white at g five soon,bin white at f e now
set blue at n four please,set e with f five lnasn
set blue in m nine soon,set blue by y one now
bin red with n two please,bin bin a l five now
set red with i four please,set red with b one please
place blue with j four please,place blue with q one please
place white with k five soon,place h by f five soon
bin white at m eight now,bin white at f in please
bin green in t four now,bin r at f one now
bin red at m four please,lay blue with b five nasn
lay red in q six now,lay white at c bin again
lay white in y seven soon,lay r by y five now
lay green with g four please,lay white with b five please
bin white at g seven again,bin r by y six again
set white with c seven again,place white i y bin again
lay green with t three again,set blue with v bin please
lay blue at q six please,place r by u one now
place red by x three soon,place r by p e now
bin green by u four please,bin blue by p five now
set green in i three soon,lay red i u e now
bin green by u two now,place red by p nine again
place blue by p four please,place blue with p five now
lay green in l six please,lay white at c nine please
bin red by g five again,bin bin by p five now
lay white by f five again,set white by p nine please
bin blue by m zero now,bin blue by b five now
