Truth,Decoded
bin blue with t zero please,bin blue bin b six soon
set white in u four now,set r at s five soon
lay green in l seven again,lay green i s bin soon
set blue with h seven soon,set blue i s five soon
lay blue with e six please,at blue with b five now
set white at u nine soon,set r at s six soon
set white at b eight please,place r by b one now
lay blue by k four now,lay blue t f five soon
lay blue by y two now,bin e r by b one now
lay blue at q four now,set blue with u e soon
lay white by s three again,lay blue by f five now
bin blue by f seven soon,bin blue by y e soon
set blue with b five again,bin blue at f five soon
place white in j three soon,bin h at f five soon
lay blue in d two now,set blue bin f six soon
lay green in r nine soon,at green at s five soon
lay red in q nine again,lay e t f bin now
bin blue by z nine soon,bin blue bin y six now
set blue with h six now,a blue by b six soon
place red at j two please,place h at s five soon
set blue at a six please,set blue i s e now
place white by y zero please,place h by b one now
bin white with n nine again,bin blue by b five soon
place blue in v zero please,place blue at b five soon
bin green by b one soon,bin blue at b five now
lay white with s five soon,place green i u five now
set green with d two please,set green i b five now
place green by e two now,place r at f five soon
bin blue with s nine soon,bin blue with f five soon
bin white at a three again,place blue by s five now
place green in d four now,place green at s five now
lay green with g five again,set e with f five soon
lay blue at k two please,place e by b five soon
set white by i seven again,set r by f six soon
set blue in n zero please,bin blue at v six soon
bin red in m one again,bin e r at s one now
lay red with l six please,set e with f bin soon
bin green in g seven soon,place e at s five soon
bin white with h five again,bin white at f five soon
lay green with m eight please,set green with b five now
bin blue in z two please,bin blue t s five now
place red with j nine soon,place blue with f bin soon
lay red in k three soon,set r at s five soon
lay white by s zero now,lay bin by b five soon
set blue by n eight please,set blue t f six soon
bin green in a three soon,bin r at s five soon
bin red at f eight now,bin white i s five soon
lay blue by r one again,set blue by b five now
set red with c one again,bin r at f five soon
set blue at a seven again,set green at f six soon
