Truth,Decoded
lay red by y nine soon,lay bin by b i again
lay red with z two now,a r by c five again
lay green in z four please,set green i p five again
lay red by l zero now,lay bin by c i again
lay white in e five soon,lay bin i r i again
place blue at i seven again,blue bin at e i again
set green in i four please,set green i p five again
set green at v four now,at r i p five again
lay blue by q eight now,set r by b i again
place red with k zero please,a r by f i again
lay red at r three again,lay bin i p i again
set red with v three again,at r at c i again
set green by p six please,set e at b five again
place red by x four please,bin bin by c five again
set blue by a nine soon,lay r by b i again
bin green by b three again,bin blue by p five again
lay red with z five again,lay bin at c i again
bin white in g zero now,bin blue i r i again
lay blue in j eight please,set r i r i again
set green by c six now,a e i b i again
bin blue with s eight now,bin blue by b i again
bin green in g eight please,bin r i r i again
set blue in t four please,bin r i p five again
bin white at g four now,bin blue i r five again
place red at x zero please,bin bin i r i again
set red with o six now,lay bin i c i again
place green in x seven soon,bin r i r i again
set green with x five again,lay r at c i again
bin red by g four please,a bin by c i again
lay red with f three again,at r at c i again
set blue at g nine soon,a r by c i again
bin blue at f two now,at r by b i again
lay green at f seven again,lay bin i p i again
set blue in a zero now,lay bin i r i again
lay red in y zero now,bin bin i p five again
lay blue by k six please,place r by b i again
place green by r three again,a h by b five again
place blue at p one again,place bin by p i again
lay green at m zero please,set green i p five again
set green in b nine soon,set e i p five again
place white in p eight please,bin blue by p five again
set white at i one soon,place r by c i again
set red at h six please,set r i r i again
lay blue with k nine soon,lay bin i c i again
place green by r zero now,bin r at c i again
lay red with f zero now,bin r i r i again
lay white in y eight please,lay bin at b five again
set red at u three soon,set r i r i again
set white by i five soon,lay bin by p five again
set red at n eight now,lay bin i r i again
