Truth,Decoded
set blue with u four now,set blue by u one now
bin blue at f four please,bin blue t f one please
bin blue in z one soon,a green with b four soon
set blue by h two now,set blue by z e now
place blue in o five soon,place blue i f four soon
bin green by h five soon,bin r by f e soon
set blue with b three soon,bin e t q four soon
bin green with i one again,place white by y one again
lay white in e six please,lay white at s six please
lay white at l five again,lay white with v six please
lay green in f zero now,set green with z one again
bin white by n four please,bin white by y one please
place green by r two please,place r t p four soon
set green by c eight please,set green by p six please
set white with c five soon,bin e by f four now
bin red with t five soon,place white with v s soon
set red in t eight now,set white at s set now
set red at u two now,set white i q four soon
lay green in r eight now,set green with k nine again
lay red at e five again,set white i s five please
place red with x eight please,place white by y one please
bin white by a five soon,bin white by p one soon
lay green in f two please,lay e i b one blue
place blue in v one again,place blue with p i please
bin red by t one soon,bin bin by z one soon
lay blue in d five again,lay blue at p e please
set red with c zero please,set green with v four soon
lay green at s three soon,lay green i v e soon
set red with b eight now,set blue with p six now
bin red in s three soon,bin white at v four soon
set blue in a two please,bin green i s e soon
bin blue with m four now,bin blue with u four now
lay red in y two please,lay white t q one please
bin green at a nine again,bin blue i s i again
bin white by g nine soon,bin white by y six now
place red in v seven again,place white with p six please
set blue at h one again,set blue at s e please
bin white with n six now,bin white with p e please
place green in q five again,place green with q four please
bin green with b six please,bin blue with p one please
lay green by g one again,set h by p one please
place green in k one again,place e t s i please
bin green with u six now,bin blue with p e again
set blue with o two please,set blue i q e please
lay blue with y nine again,bin blue with p i please
set red by u six now,set red by p two loasn
bin blue by z eight now,bin blue by p i now
set white in u five soon,set white a q four soon
lay red with f two please,set white with v four please
lay green with m seven soon,set white with b four soon
