Truth,Decoded
set blue in g five soon,a r e now
set green in o nine again,a r e soon
lay white with f seven soon,a r e soon
place blue at v two now,a r e now
place blue at p zero please,a r e now
place red in v six please,a r e soon
place white by x nine soon,a r e one
set white in h seven soon,a r e now
lay blue with e five soon,a r e soon
bin white with u two please,a r e soon
place green by k eight please,a r e now
set green with q one again,a r e soon
bin white with u three again,a r e now
set red by i one again,a r e soon
lay white in e four now,a r e now
place red by d zero now,a r e now
set white at o five soon,a r e now
place blue with d zero please,a r e soon
set red in n five soon,a r e one
place red at j zero now,a r e now
bin green in t five soon,a r e now
place red by j four now,a r e soon
place white at d four please,a r e soon
set green by j two please,a r e soon
place red with q three soon,a r e soon
set red at o one again,a r e soon
place red at c six now,a r e now
lay blue in j seven soon,a r e soon
set green by p seven again,a r e soon
lay red by l three again,a r e now
place green with l two please,a r e now
bin green with o three soon,a r e now
place green in q two now,a r e now
place green with y eight now,a r e soon
lay blue in q two please,a r e now
place blue at c two please,a r e now
set green at p zero now,a r e soon
bin blue by s four now,a r e now
place green by y five soon,a r e now
place green in x six now,a r e soon
place blue by i nine soon,a r e soon
place blue in o seven again,a r e now now
bin white at n one again,a r e soon
bin green with h nine soon,a r e soon
lay green with m six now,a r e soon
lay white in l zero please,a r e now
bin blue at s two please,a r e now
bin white by t six now,a r e soon
place white with y two now,a r e one
place red by d two please,a r e now
