Truth,Decoded
bin green with h eight now,bin blue i s six soon
lay green with a one again,set bin with b in again
place green in d seven again,place r i s six soon
set green at p three again,set e bin p bin again
bin white with h three soon,set white by s two soon
set blue in t two now,set blue i g six now
bin blue by s six please,bin blue by a six again
set red with v zero now,set e with g six again
place blue by c six please,place blue i s five again
set red in n four now,set red at b two now
bin white at t five again,bin white i d nine again
lay white at r eight please,lay white by y i again
lay white at r nine again,lay r i d bin again
lay green in z five again,set green with b six again
bin white in g three again,lay blue by y six again
bin white by n two now,bin white by d nine again
bin green in n one soon,a r with m one now
bin blue in l three soon,bin blue with g two soon
bin white in g one soon,bin white at h one now
lay green by s eight please,lay blue by s five again
lay green at l eight now,lay e with d six soon
bin green by h four now,bin r bin p bin again
bin blue at z four now,lay blue by b six soon
bin white in m five soon,bin white at m one now
set red in u one again,set set i h i soon
set blue with u five soon,set blue with b bin soon
bin red with a three soon,bin white with r two now
set green in c one again,set r i h six again
lay white by l six now,place white i d six soon
set white by o nine soon,set h by y one now
place white in p seven soon,place white at u nine now
set blue by h four please,e blue i r one noaoe
set red by i zero please,set e by y i again
set red at n nine soon,at r at i one now
place white in x one soon,place white at s nine now
set white at i two please,bin e by a six again
place red in v four now,bin r by b nine now
lay blue at d eight please,lay blue i k nine again
place green in d six please,place r i s two again
bin green by n nine soon,bin blue y y i soon
place blue in i zero now,place blue i g six soon
bin blue by f eight please,bin red by m five again
lay white at z zero now,place red by a six again
set white in h nine again,a r by s six again
lay green at z six now,lay r i s six soon
place red by j seven again,place r by b i again
place red with q four please,place r at u two now
lay blue at y zero please,lay blue i a six again
lay green by s nine again,lay blue by s six again
set green by j one soon,set e by m five now
