Truth,Decoded
lay red at e two now,lay r i s in again
set red with i two now,set green with j nine again
bin blue at l eight please,lay blue by b nine now
lay green in s zero please,place green i b nine again
place white in p nine again,bin blue at v nine again
lay red at k eight please,set e i s in now
lay red by z one again,place green i b five now
set green in o eight please,set green i b in again
set green with p eight now,set blue bin b nine again
lay blue with k eight now,place e by b nine again
bin red in z six now,bin blue i s bin again
bin red in s five again,bin blue i j nine again
bin white by g eight now,a blue by y nine again
set green with j four now,bin green i s in soon
place white with r zero please,bin blue by b nine now
lay blue by y three soon,at blue by b five now
place green by e three soon,bin blue at b five now
lay blue in x six please,lay r i s in again
lay red with l five soon,lay blue by b nine soon
bin blue with m five soon,bin blue by b five now
set green at v five soon,a green i b nine soon
set white with p four please,set blue by b five now
bin green with b seven again,bin blue with b nine again
set green in v zero now,set green i b nine again
lay white at z three again,lay blue i b nine again
bin red at f nine soon,bin blue i b in now
bin white with h two now,bin blue i j nine again
set blue by a eight now,bin white i s nine again
lay white with s four now,set e bin b nine again
set green with j six please,set green with b nine again
bin white at a one soon,a blue by j nine now
lay green in z three soon,set green i s nine again
lay blue with y eight please,bin blue with b nine now
bin green at h one soon,bin white i j in again
place green by y four now,a blue by b five now
lay red in k four please,place r i j nine now
set blue at n five again,set blue i b nine now
bin red at m two now,bin blue i b nine again
set red with b nine soon,set r i b nine again
place white at j eight please,bin white i j in again
lay blue with r four please,set bin by b nine soon
place blue in u nine soon,place blue i j in again
set red by b seven again,bin e by b nine again
set white in u six please,set e with s nine again
place green by y six please,bin blue by b five now
bin green by b two please,bin blue by y nine now
place green at k four please,bin green i b nine soon
lay blue in d four please,a e by b five now
set blue by n nine again,bin white i j nine again
set green with d one soon,set r bin b five now
