Truth,Decoded
lay red by y nine soon,a r i i again
lay red with z two now,a r i i again
lay green in z four please,a r i i again
lay red by l zero now,a r i i again
lay white in e five soon,a r i i again
place blue at i seven again,a r i i again
set green in i four please,a r i i again
set green at v four now,a r i i again
lay blue by q eight now,a r i i again
place red with k zero please,a r i i again
lay red at r three again,a r i i again
set red with v three again,a r i i again
set green by p six please,a r i i again
place red by x four please,a r i i again
set blue by a nine soon,a r i i again
bin green by b three again,a r i i again
lay red with z five again,a r i i again
bin white in g zero now,a r i i again
lay blue in j eight please,a r i i again
set green by c six now,a r i i again
bin blue with s eight now,a r i i again
bin green in g eight please,a r i i again
set blue in t four please,a r i i again
bin white at g four now,a r i i again
place red at x zero please,a r i i again
set red with o six now,a r i i again
place green in x seven soon,a r i i again
set green with x five again,a r i i again
bin red by g four please,a r i i again
lay red with f three again,a r i i again
set blue at g nine soon,a r i i again
bin blue at f two now,a r i i again
lay green at f seven again,a r i i again
set blue in a zero now,a r i i again
lay red in y zero now,a r i i again
lay blue by k six please,a r i i again
place green by r three again,a r i i again
place blue at p one again,a r i i again
lay green at m zero please,a r i i again
set green in b nine soon,a r i i again
place white in p eight please,a r i i again
set white at i one soon,a r i i again
set red at h six please,a r i i again
lay blue with k nine soon,a r i i again
place green by r zero now,a r i i again
lay red with f zero now,a r i i again
lay white in y eight please,a r i i again
set red at u three soon,a r i i again
set white by i five soon,a r i i again
set red at n eight now,a r i i again
