Truth,Decoded
set blue in g five soon,set green at u bin again
set green in o nine again,set green i n six again
lay white with f seven soon,lay white by b bin again
place blue at v two now,a blue at v nine again
place blue at p zero please,set r at b bin again
place red in v six please,place r at p six again
place white by x nine soon,place white i s i again
set white in h seven soon,set r at s bin again
lay blue with e five soon,place e bin u bin again
bin white with u two please,bin blue at u bin again
place green by k eight please,place blue by s i again
set green with q one again,set blue i m in again
bin white with u three again,bin blue bin u bin again
set red by i one again,set r by y in leaon
lay white in e four now,lay r at u six again
place red by d zero now,place r at f nine again
set white at o five soon,set r i s in again
place blue with d zero please,place r at v six again
set red in n five soon,set green i s six again
place red at j zero now,place r i s six again
bin green in t five soon,bin blue i s bin again
place red by j four now,place r by p nine again
place white at d four please,bin blue i f six again
set green by j two please,set e i s bin again
place red with q three soon,place r by b nine again
set red at o one again,set e i p six again
place red at c six now,place r i s six again
lay blue in j seven soon,a blue i s i again
set green by p seven again,set green with v six again
lay red by l three again,set green i s bin again
place green with l two please,place red i b nine again
bin green with o three soon,bin blue i p in again
place green in q two now,place green i s bin again
place green with y eight now,bin blue i b nine again
lay blue in q two please,set blue i n nine again
place blue at c two please,place blue i s six again
set green at p zero now,set green i p six again
bin blue by s four now,bin blue i y in again
place green by y five soon,place r i b one leaon
place green in x six now,place green i s six again
place blue by i nine soon,bin e r at v six again
place blue in o seven again,lay bin at e soon
bin white at n one again,place white i n in leaon
bin green with h nine soon,place blue i s i again
lay green with m six now,set e with p i again
lay white in l zero please,lay r i s bin again
bin blue at s two please,bin blue i s in again
bin white by t six now,bin white by s six again
place white with y two now,place r at p in again
place red by d two please,place white i p nine again
